year,Zelpha
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,7
1887,7
1888,5
1889,7
1890,5
1891,13
1892,13
1893,8
1894,7
1895,7
1896,7
1897,11
1898,9
1899,9
1900,10
1901,6
1902,9
1903,13
1904,18
1905,17
1906,5
1907,15
1908,13
1909,14
1910,13
1911,21
1912,16
1913,16
1914,22
1915,32
1916,39
1917,35
1918,35
1919,27
1920,15
1921,31
1922,29
1923,25
1924,38
1925,31
1926,26
1927,18
1928,22
1929,21
1930,13
1931,21
1932,17
1933,11
1934,12
1935,12
1936,12
1937,7
1938,8
1939,6
1940,9
1941,0
1942,9
1943,15
1944,0
1945,0
1946,11
1947,0
1948,7
1949,0
1950,5
1951,0
1952,0
1953,8
1954,6
1955,7
1956,6
1957,6
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
