year,Zulma
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,7
1948,0
1949,8
1950,6
1951,10
1952,9
1953,10
1954,0
1955,15
1956,19
1957,28
1958,21
1959,23
1960,17
1961,24
1962,28
1963,27
1964,26
1965,30
1966,32
1967,16
1968,31
1969,29
1970,48
1971,50
1972,36
1973,32
1974,52
1975,32
1976,30
1977,44
1978,29
1979,28
1980,28
1981,22
1982,24
1983,23
1984,18
1985,21
1986,12
1987,26
1988,34
1989,25
1990,22
1991,36
1992,36
1993,24
1994,31
1995,30
1996,28
1997,31
1998,24
1999,26
2000,31
2001,23
2002,27
2003,26
2004,19
2005,18
2006,30
2007,21
2008,31
2009,8
2010,14
2011,11
2012,6
