year,Hillary (F),Hillary (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000020
1889,0.000000,0.000017
1890,0.000000,0.000017
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000017
1898,0.000000,0.000024
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000016
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000015
1908,0.000000,0.000012
1909,0.000000,0.000014
1910,0.000000,0.000008
1911,0.000000,0.000014
1912,0.000000,0.000006
1913,0.000000,0.000009
1914,0.000000,0.000006
1915,0.000000,0.000010
1916,0.000000,0.000006
1917,0.000000,0.000007
1918,0.000000,0.000008
1919,0.000000,0.000007
1920,0.000000,0.000008
1921,0.000000,0.000009
1922,0.000002,0.000008
1923,0.000000,0.000008
1924,0.000000,0.000005
1925,0.000000,0.000009
1926,0.000000,0.000009
1927,0.000000,0.000010
1928,0.000000,0.000011
1929,0.000000,0.000007
1930,0.000000,0.000009
1931,0.000000,0.000007
1932,0.000000,0.000007
1933,0.000000,0.000007
1934,0.000000,0.000007
1935,0.000000,0.000003
1936,0.000000,0.000003
1937,0.000000,0.000007
1938,0.000000,0.000009
1939,0.000000,0.000008
1940,0.000000,0.000008
1941,0.000000,0.000007
1942,0.000003,0.000005
1943,0.000005,0.000003
1944,0.000007,0.000006
1945,0.000007,0.000006
1946,0.000009,0.000006
1947,0.000014,0.000004
1948,0.000012,0.000006
1949,0.000014,0.000004
1950,0.000015,0.000006
1951,0.000011,0.000005
1952,0.000011,0.000004
1953,0.000015,0.000005
1954,0.000020,0.000007
1955,0.000018,0.000006
1956,0.000024,0.000003
1957,0.000021,0.000004
1958,0.000023,0.000005
1959,0.000020,0.000003
1960,0.000018,0.000004
1961,0.000027,0.000004
1962,0.000028,0.000004
1963,0.000037,0.000005
1964,0.000034,0.000002
1965,0.000031,0.000004
1966,0.000035,0.000004
1967,0.000046,0.000002
1968,0.000053,0.000004
1969,0.000057,0.000004
1970,0.000072,0.000003
1971,0.000073,0.000004
1972,0.000077,0.000005
1973,0.000083,0.000002
1974,0.000103,0.000003
1975,0.000107,0.000003
1976,0.000109,0.000003
1977,0.000139,0.000004
1978,0.000226,0.000006
1979,0.000277,0.000004
1980,0.000242,0.000003
1981,0.000213,0.000004
1982,0.000214,0.000002
1983,0.000201,0.000001
1984,0.000289,0.000002
1985,0.000294,0.000003
1986,0.000304,0.000003
1987,0.000300,0.000003
1988,0.000293,0.000004
1989,0.000334,0.000004
1990,0.000386,0.000000
1991,0.000459,0.000001
1992,0.000657,0.000002
1993,0.000282,0.000002
1994,0.000110,0.000002
1995,0.000085,0.000000
1996,0.000086,0.000000
1997,0.000081,0.000000
1998,0.000066,0.000000
1999,0.000069,0.000001
2000,0.000067,0.000000
2001,0.000069,0.000000
2002,0.000053,0.000001
2003,0.000059,0.000002
2004,0.000081,0.000000
2005,0.000074,0.000000
2006,0.000067,0.000000
2007,0.000071,0.000000
2008,0.000105,0.000002
2009,0.000052,0.000000
2010,0.000045,0.000000
2011,0.000046,0.000000
2012,0.000043,0.000000
2013,0.000043,0.000000
