year,Hershell
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,5
1900,0
1901,0
1902,5
1903,8
1904,0
1905,0
1906,5
1907,0
1908,5
1909,5
1910,5
1911,10
1912,10
1913,15
1914,13
1915,18
1916,24
1917,35
1918,20
1919,35
1920,45
1921,40
1922,42
1923,27
1924,40
1925,41
1926,33
1927,40
1928,37
1929,35
1930,28
1931,29
1932,32
1933,43
1934,32
1935,41
1936,40
1937,37
1938,44
1939,38
1940,38
1941,36
1942,36
1943,43
1944,29
1945,28
1946,24
1947,38
1948,29
1949,29
1950,25
1951,25
1952,26
1953,29
1954,28
1955,25
1956,30
1957,34
1958,19
1959,24
1960,25
1961,15
1962,23
1963,8
1964,9
1965,8
1966,17
1967,13
1968,9
1969,15
1970,8
1971,17
1972,15
1973,10
1974,7
1975,6
1976,10
1977,8
1978,7
1979,6
1980,6
1981,7
1982,7
1983,9
1984,6
1985,0
1986,0
1987,6
1988,7
1989,0
1990,0
1991,0
1992,0
1993,0
1994,5
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
