year,Hayden (F),Hayden (M)
1880,0.000000,0.000025
1881,0.000000,0.000000
1882,0.000000,0.000023
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000025
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000020
1889,0.000000,0.000021
1890,0.000000,0.000027
1891,0.000000,0.000031
1892,0.000000,0.000024
1893,0.000000,0.000015
1894,0.000000,0.000000
1895,0.000000,0.000020
1896,0.000000,0.000022
1897,0.000000,0.000023
1898,0.000000,0.000029
1899,0.000000,0.000027
1900,0.000000,0.000022
1901,0.000000,0.000020
1902,0.000000,0.000013
1903,0.000000,0.000018
1904,0.000000,0.000022
1905,0.000000,0.000024
1906,0.000000,0.000026
1907,0.000000,0.000019
1908,0.000000,0.000018
1909,0.000000,0.000027
1910,0.000000,0.000020
1911,0.000000,0.000029
1912,0.000000,0.000044
1913,0.000000,0.000034
1914,0.000000,0.000032
1915,0.000000,0.000037
1916,0.000000,0.000032
1917,0.000000,0.000034
1918,0.000000,0.000030
1919,0.000000,0.000031
1920,0.000000,0.000028
1921,0.000000,0.000030
1922,0.000000,0.000031
1923,0.000000,0.000033
1924,0.000000,0.000025
1925,0.000000,0.000027
1926,0.000000,0.000025
1927,0.000000,0.000023
1928,0.000000,0.000025
1929,0.000000,0.000023
1930,0.000000,0.000022
1931,0.000000,0.000018
1932,0.000000,0.000020
1933,0.000000,0.000021
1934,0.000000,0.000023
1935,0.000000,0.000025
1936,0.000000,0.000021
1937,0.000000,0.000017
1938,0.000000,0.000017
1939,0.000000,0.000013
1940,0.000000,0.000016
1941,0.000000,0.000017
1942,0.000000,0.000017
1943,0.000000,0.000017
1944,0.000000,0.000017
1945,0.000000,0.000014
1946,0.000000,0.000014
1947,0.000000,0.000015
1948,0.000000,0.000012
1949,0.000000,0.000010
1950,0.000000,0.000013
1951,0.000000,0.000010
1952,0.000000,0.000007
1953,0.000000,0.000008
1954,0.000000,0.000009
1955,0.000000,0.000006
1956,0.000000,0.000009
1957,0.000000,0.000006
1958,0.000000,0.000007
1959,0.000000,0.000011
1960,0.000000,0.000008
1961,0.000000,0.000007
1962,0.000000,0.000009
1963,0.000000,0.000007
1964,0.000000,0.000010
1965,0.000000,0.000009
1966,0.000000,0.000007
1967,0.000000,0.000009
1968,0.000000,0.000009
1969,0.000002,0.000012
1970,0.000002,0.000012
1971,0.000002,0.000011
1972,0.000000,0.000009
1973,0.000003,0.000014
1974,0.000003,0.000012
1975,0.000005,0.000014
1976,0.000004,0.000016
1977,0.000004,0.000015
1978,0.000004,0.000017
1979,0.000004,0.000019
1980,0.000003,0.000023
1981,0.000005,0.000019
1982,0.000006,0.000023
1983,0.000003,0.000018
1984,0.000004,0.000020
1985,0.000005,0.000023
1986,0.000007,0.000025
1987,0.000007,0.000035
1988,0.000010,0.000031
1989,0.000011,0.000062
1990,0.000011,0.000154
1991,0.000020,0.000238
1992,0.000029,0.000302
1993,0.000037,0.000352
1994,0.000041,0.000482
1995,0.000043,0.000517
1996,0.000050,0.000553
1997,0.000050,0.000570
1998,0.000069,0.000582
1999,0.000073,0.000654
2000,0.000092,0.000806
2001,0.000098,0.000872
2002,0.000112,0.001108
2003,0.000129,0.001342
2004,0.000126,0.001314
2005,0.000194,0.001539
2006,0.000192,0.001635
2007,0.000434,0.001570
2008,0.000678,0.001514
2009,0.000648,0.001274
2010,0.000512,0.001135
2011,0.000463,0.001258
2012,0.000442,0.000970
2013,0.000463,0.000815
2014,0.000450,0.000780
2015,0.000463,0.000743
2016,0.000431,0.000653
2017,0.000380,0.000641
2018,0.000356,0.000620
2019,0.000329,0.000596
2020,0.000326,0.000649
