year,Henderson
1880,12
1881,13
1882,27
1883,15
1884,17
1885,13
1886,16
1887,14
1888,13
1889,20
1890,14
1891,16
1892,21
1893,20
1894,16
1895,25
1896,16
1897,10
1898,18
1899,12
1900,20
1901,11
1902,19
1903,9
1904,18
1905,25
1906,18
1907,14
1908,19
1909,22
1910,19
1911,16
1912,35
1913,40
1914,40
1915,60
1916,71
1917,71
1918,83
1919,61
1920,76
1921,61
1922,63
1923,64
1924,66
1925,60
1926,55
1927,63
1928,61
1929,50
1930,39
1931,42
1932,50
1933,43
1934,45
1935,36
1936,41
1937,36
1938,40
1939,47
1940,37
1941,44
1942,36
1943,40
1944,44
1945,40
1946,36
1947,42
1948,38
1949,44
1950,49
1951,47
1952,34
1953,41
1954,36
1955,36
1956,24
1957,23
1958,29
1959,30
1960,14
1961,32
1962,27
1963,21
1964,17
1965,17
1966,27
1967,22
1968,19
1969,22
1970,14
1971,12
1972,13
1973,21
1974,12
1975,15
1976,14
1977,16
1978,17
1979,19
1980,10
1981,14
1982,22
1983,16
1984,11
1985,18
1986,15
1987,16
1988,14
1989,19
1990,16
1991,17
1992,16
1993,13
1994,18
1995,11
1996,14
1997,14
1998,22
1999,13
2000,20
2001,15
2002,17
2003,18
2004,9
2005,21
2006,9
2007,16
2008,27
2009,22
2010,25
2011,23
2012,19
