year,Hallie (F),Hallie (M)
1880,0.000253,0.000030
1881,0.000187,0.000000
1882,0.000280,0.000023
1883,0.000286,0.000032
1884,0.000283,0.000029
1885,0.000311,0.000029
1886,0.000313,0.000035
1887,0.000376,0.000032
1888,0.000311,0.000037
1889,0.000332,0.000028
1890,0.000401,0.000053
1891,0.000317,0.000031
1892,0.000335,0.000021
1893,0.000446,0.000034
1894,0.000475,0.000041
1895,0.000370,0.000034
1896,0.000375,0.000050
1897,0.000438,0.000040
1898,0.000375,0.000018
1899,0.000366,0.000038
1900,0.000349,0.000044
1901,0.000390,0.000035
1902,0.000393,0.000028
1903,0.000333,0.000016
1904,0.000357,0.000032
1905,0.000307,0.000019
1906,0.000308,0.000030
1907,0.000339,0.000024
1908,0.000266,0.000014
1909,0.000254,0.000000
1910,0.000394,0.000022
1911,0.000286,0.000022
1912,0.000184,0.000017
1913,0.000155,0.000020
1914,0.000145,0.000015
1915,0.000139,0.000015
1916,0.000129,0.000016
1917,0.000123,0.000013
1918,0.000111,0.000011
1919,0.000121,0.000019
1920,0.000111,0.000019
1921,0.000102,0.000018
1922,0.000112,0.000010
1923,0.000089,0.000014
1924,0.000091,0.000011
1925,0.000090,0.000012
1926,0.000084,0.000008
1927,0.000067,0.000013
1928,0.000072,0.000014
1929,0.000061,0.000011
1930,0.000074,0.000009
1931,0.000058,0.000013
1932,0.000063,0.000011
1933,0.000058,0.000010
1934,0.000043,0.000010
1935,0.000040,0.000007
1936,0.000039,0.000010
1937,0.000037,0.000008
1938,0.000042,0.000007
1939,0.000038,0.000010
1940,0.000032,0.000007
1941,0.000034,0.000005
1942,0.000027,0.000006
1943,0.000024,0.000004
1944,0.000026,0.000006
1945,0.000025,0.000003
1946,0.000020,0.000003
1947,0.000020,0.000004
1948,0.000022,0.000005
1949,0.000020,0.000002
1950,0.000017,0.000002
1951,0.000019,0.000003
1952,0.000018,0.000002
1953,0.000016,0.000002
1954,0.000016,0.000002
1955,0.000013,0.000002
1956,0.000015,0.000000
1957,0.000015,0.000002
1958,0.000012,0.000002
1959,0.000012,0.000001
1960,0.000012,0.000002
1961,0.000011,0.000001
1962,0.000019,0.000001
1963,0.000019,0.000003
1964,0.000016,0.000002
1965,0.000017,0.000000
1966,0.000016,0.000000
1967,0.000016,0.000002
1968,0.000018,0.000002
1969,0.000019,0.000002
1970,0.000029,0.000002
1971,0.000037,0.000000
1972,0.000034,0.000002
1973,0.000035,0.000002
1974,0.000029,0.000000
1975,0.000035,0.000000
1976,0.000036,0.000000
1977,0.000035,0.000000
1978,0.000034,0.000000
1979,0.000028,0.000002
1980,0.000029,0.000000
1981,0.000028,0.000000
1982,0.000042,0.000002
1983,0.000048,0.000000
1984,0.000047,0.000000
1985,0.000055,0.000002
1986,0.000075,0.000000
1987,0.000058,0.000000
1988,0.000063,0.000000
1989,0.000062,0.000000
1990,0.000067,0.000000
1991,0.000086,0.000000
1992,0.000099,0.000002
1993,0.000138,0.000000
1994,0.000125,0.000000
1995,0.000127,0.000000
1996,0.000132,0.000000
1997,0.000123,0.000000
1998,0.000145,0.000000
1999,0.000230,0.000000
2000,0.000287,0.000000
2001,0.000238,0.000000
2002,0.000224,0.000000
2003,0.000194,0.000000
2004,0.000183,0.000003
2005,0.000170,0.000000
2006,0.000176,0.000000
2007,0.000150,0.000000
2008,0.000155,0.000000
2009,0.000147,0.000000
2010,0.000138,0.000000
2011,0.000131,0.000000
2012,0.000158,0.000000
2013,0.000157,0.000000
2014,0.000138,0.000000
2015,0.000147,0.000000
2016,0.000146,0.000000
2017,0.000167,0.000000
2018,0.000194,0.000000
2019,0.000224,0.000000
2020,0.000248,0.000000
