year,Hoy
1880,8
1881,0
1882,5
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,5
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,5
1906,5
1907,0
1908,0
1909,0
1910,12
1911,6
1912,9
1913,10
1914,16
1915,23
1916,16
1917,22
1918,23
1919,23
1920,25
1921,20
1922,19
1923,36
1924,30
1925,21
1926,15
1927,19
1928,21
1929,9
1930,14
1931,14
1932,19
1933,23
1934,12
1935,9
1936,16
1937,14
1938,14
1939,14
1940,9
1941,11
1942,12
1943,16
1944,14
1945,9
1946,14
1947,10
1948,13
1949,9
1950,5
1951,11
1952,0
1953,11
1954,13
1955,7
1956,5
1957,13
1958,6
1959,8
1960,5
1961,5
1962,0
1963,6
1964,8
1965,0
1966,0
1967,5
1968,6
1969,7
1970,0
1971,9
1972,0
1973,6
1974,7
1975,0
1976,7
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
