year,Harrison (F),Harrison (M)
1880,0.000000,0.000323
1881,0.000000,0.000317
1882,0.000000,0.000343
1883,0.000000,0.000281
1884,0.000000,0.000259
1885,0.000000,0.000187
1886,0.000000,0.000302
1887,0.000000,0.000400
1888,0.000000,0.001336
1889,0.000000,0.000997
1890,0.000000,0.000518
1891,0.000000,0.000370
1892,0.000000,0.000473
1893,0.000000,0.000369
1894,0.000000,0.000251
1895,0.000000,0.000231
1896,0.000000,0.000221
1897,0.000000,0.000199
1898,0.000000,0.000218
1899,0.000000,0.000159
1900,0.000000,0.000153
1901,0.000000,0.000127
1902,0.000000,0.000137
1903,0.000000,0.000123
1904,0.000000,0.000114
1905,0.000000,0.000132
1906,0.000000,0.000103
1907,0.000000,0.000118
1908,0.000000,0.000121
1909,0.000000,0.000111
1910,0.000000,0.000161
1911,0.000000,0.000127
1912,0.000000,0.000172
1913,0.000000,0.000173
1914,0.000000,0.000185
1915,0.000000,0.000171
1916,0.000000,0.000154
1917,0.000000,0.000159
1918,0.000000,0.000171
1919,0.000000,0.000153
1920,0.000000,0.000180
1921,0.000000,0.000149
1922,0.000000,0.000163
1923,0.000002,0.000157
1924,0.000000,0.000140
1925,0.000000,0.000150
1926,0.000002,0.000132
1927,0.000000,0.000126
1928,0.000000,0.000121
1929,0.000000,0.000102
1930,0.000002,0.000108
1931,0.000000,0.000107
1932,0.000000,0.000119
1933,0.000000,0.000117
1934,0.000000,0.000097
1935,0.000000,0.000095
1936,0.000000,0.000088
1937,0.000000,0.000099
1938,0.000000,0.000098
1939,0.000000,0.000092
1940,0.000000,0.000077
1941,0.000000,0.000073
1942,0.000000,0.000077
1943,0.000000,0.000083
1944,0.000000,0.000067
1945,0.000000,0.000085
1946,0.000000,0.000061
1947,0.000000,0.000073
1948,0.000000,0.000070
1949,0.000000,0.000067
1950,0.000000,0.000062
1951,0.000000,0.000059
1952,0.000000,0.000060
1953,0.000000,0.000057
1954,0.000000,0.000051
1955,0.000000,0.000048
1956,0.000000,0.000045
1957,0.000000,0.000048
1958,0.000000,0.000043
1959,0.000000,0.000046
1960,0.000000,0.000042
1961,0.000000,0.000034
1962,0.000000,0.000042
1963,0.000000,0.000040
1964,0.000000,0.000034
1965,0.000000,0.000032
1966,0.000000,0.000037
1967,0.000000,0.000039
1968,0.000000,0.000033
1969,0.000000,0.000034
1970,0.000000,0.000034
1971,0.000000,0.000029
1972,0.000002,0.000036
1973,0.000002,0.000039
1974,0.000000,0.000035
1975,0.000000,0.000037
1976,0.000000,0.000034
1977,0.000000,0.000025
1978,0.000000,0.000032
1979,0.000000,0.000032
1980,0.000000,0.000039
1981,0.000000,0.000040
1982,0.000000,0.000057
1983,0.000000,0.000066
1984,0.000001,0.000063
1985,0.000000,0.000116
1986,0.000000,0.000130
1987,0.000002,0.000164
1988,0.000002,0.000188
1989,0.000000,0.000230
1990,0.000000,0.000235
1991,0.000000,0.000253
1992,0.000000,0.000265
1993,0.000002,0.000273
1994,0.000002,0.000358
1995,0.000000,0.000372
1996,0.000002,0.000406
1997,0.000003,0.000503
1998,0.000003,0.000517
1999,0.000002,0.000521
2000,0.000002,0.000525
2001,0.000001,0.000480
2002,0.000000,0.000499
2003,0.000002,0.000446
2004,0.000004,0.000453
2005,0.000000,0.000447
2006,0.000003,0.000394
2007,0.000000,0.000414
2008,0.000002,0.000442
2009,0.000002,0.000383
2010,0.000003,0.000404
2011,0.000002,0.000500
2012,0.000004,0.000582
2013,0.000004,0.000690
2014,0.000003,0.000866
2015,0.000002,0.000904
2016,0.000002,0.000999
2017,0.000004,0.000986
2018,0.000002,0.000972
2019,0.000004,0.000998
2020,0.000003,0.000969
