year,Hetty
1880,0
1881,0
1882,9
1883,0
1884,10
1885,10
1886,7
1887,9
1888,6
1889,6
1890,6
1891,12
1892,8
1893,6
1894,13
1895,7
1896,8
1897,11
1898,12
1899,5
1900,9
1901,8
1902,9
1903,12
1904,6
1905,12
1906,6
1907,0
1908,6
1909,7
1910,6
1911,5
1912,13
1913,11
1914,7
1915,13
1916,13
1917,11
1918,20
1919,15
1920,10
1921,10
1922,12
1923,14
1924,16
1925,17
1926,18
1927,9
1928,19
1929,16
1930,9
1931,9
1932,8
1933,0
1934,9
1935,0
1936,11
1937,9
1938,9
1939,12
1940,7
1941,7
1942,12
1943,10
1944,10
1945,8
1946,9
1947,8
1948,8
1949,5
1950,11
1951,9
1952,0
1953,9
1954,6
1955,5
1956,0
1957,6
1958,0
1959,6
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,7
1972,0
1973,0
1974,0
1975,0
1976,0
1977,5
1978,0
1979,0
1980,0
1981,5
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,6
1990,0
1991,0
1992,5
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,5
