year,Heidi (F),Heidi (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000000,0.000000
1911,0.000000,0.000000
1912,0.000000,0.000000
1913,0.000000,0.000000
1914,0.000000,0.000000
1915,0.000000,0.000000
1916,0.000000,0.000000
1917,0.000000,0.000000
1918,0.000000,0.000000
1919,0.000000,0.000000
1920,0.000000,0.000000
1921,0.000000,0.000000
1922,0.000000,0.000000
1923,0.000000,0.000000
1924,0.000000,0.000000
1925,0.000000,0.000000
1926,0.000000,0.000000
1927,0.000000,0.000000
1928,0.000000,0.000000
1929,0.000004,0.000000
1930,0.000004,0.000000
1931,0.000004,0.000000
1932,0.000000,0.000000
1933,0.000004,0.000000
1934,0.000007,0.000000
1935,0.000005,0.000000
1936,0.000005,0.000000
1937,0.000008,0.000000
1938,0.000023,0.000000
1939,0.000024,0.000000
1940,0.000017,0.000000
1941,0.000018,0.000000
1942,0.000026,0.000000
1943,0.000033,0.000000
1944,0.000037,0.000000
1945,0.000031,0.000000
1946,0.000048,0.000000
1947,0.000056,0.000000
1948,0.000069,0.000000
1949,0.000071,0.000000
1950,0.000071,0.000000
1951,0.000086,0.000000
1952,0.000108,0.000000
1953,0.000177,0.000000
1954,0.000218,0.000000
1955,0.000257,0.000000
1956,0.000328,0.000000
1957,0.000345,0.000000
1958,0.000470,0.000000
1959,0.000460,0.000000
1960,0.000564,0.000001
1961,0.000609,0.000001
1962,0.000658,0.000001
1963,0.000743,0.000002
1964,0.000888,0.000002
1965,0.000981,0.000001
1966,0.001141,0.000002
1967,0.001139,0.000004
1968,0.001157,0.000002
1969,0.001303,0.000005
1970,0.001287,0.000004
1971,0.001374,0.000004
1972,0.001502,0.000006
1973,0.001457,0.000004
1974,0.001542,0.000005
1975,0.001421,0.000005
1976,0.001282,0.000006
1977,0.001147,0.000006
1978,0.001124,0.000006
1979,0.001103,0.000007
1980,0.001169,0.000006
1981,0.001081,0.000002
1982,0.000967,0.000005
1983,0.000842,0.000003
1984,0.000765,0.000003
1985,0.000651,0.000002
1986,0.000597,0.000002
1987,0.000531,0.000002
1988,0.000473,0.000003
1989,0.000400,0.000003
1990,0.000371,0.000000
1991,0.000341,0.000000
1992,0.000323,0.000000
1993,0.000303,0.000001
1994,0.000273,0.000000
1995,0.000263,0.000000
1996,0.000272,0.000000
1997,0.000244,0.000000
1998,0.000231,0.000000
1999,0.000247,0.000000
2000,0.000233,0.000000
2001,0.000222,0.000000
2002,0.000255,0.000000
2003,0.000257,0.000000
2004,0.000244,0.000000
2005,0.000258,0.000000
2006,0.000284,0.000000
2007,0.000281,0.000000
2008,0.000298,0.000000
2009,0.000293,0.000000
2010,0.000290,0.000000
2011,0.000261,0.000000
2012,0.000256,0.000000
