year,Haskel
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,5
1908,7
1909,0
1910,5
1911,9
1912,15
1913,13
1914,17
1915,31
1916,28
1917,26
1918,28
1919,26
1920,31
1921,31
1922,36
1923,29
1924,40
1925,31
1926,28
1927,25
1928,34
1929,33
1930,32
1931,33
1932,21
1933,26
1934,18
1935,24
1936,27
1937,26
1938,26
1939,23
1940,17
1941,17
1942,20
1943,20
1944,16
1945,15
1946,15
1947,11
1948,12
1949,12
1950,16
1951,17
1952,15
1953,15
1954,6
1955,7
1956,12
1957,8
1958,14
1959,7
1960,6
1961,9
1962,6
1963,8
1964,5
1965,8
1966,0
1967,11
1968,0
1969,7
1970,5
1971,0
1972,7
1973,0
1974,0
1975,6
1976,0
1977,5
1978,6
1979,0
1980,5
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,5
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,5
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
