year,Hildegarde
1880,0
1881,0
1882,0
1883,0
1884,0
1885,8
1886,0
1887,8
1888,8
1889,0
1890,17
1891,19
1892,12
1893,13
1894,11
1895,15
1896,19
1897,21
1898,31
1899,25
1900,30
1901,30
1902,20
1903,22
1904,33
1905,33
1906,33
1907,28
1908,35
1909,30
1910,39
1911,38
1912,54
1913,70
1914,74
1915,124
1916,108
1917,79
1918,77
1919,56
1920,64
1921,70
1922,63
1923,60
1924,46
1925,60
1926,44
1927,56
1928,46
1929,54
1930,47
1931,40
1932,37
1933,29
1934,24
1935,26
1936,34
1937,23
1938,29
1939,19
1940,23
1941,23
1942,20
1943,20
1944,13
1945,8
1946,19
1947,8
1948,8
1949,7
1950,8
1951,10
1952,7
1953,12
1954,7
1955,7
1956,5
1957,0
1958,6
1959,6
1960,5
1961,13
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
