year,Horace (F),Horace (M)
1880,0.000000,0.000988
1881,0.000000,0.000789
1882,0.000000,0.000794
1883,0.000000,0.000770
1884,0.000000,0.000633
1885,0.000000,0.000644
1886,0.000000,0.000611
1887,0.000000,0.000647
1888,0.000000,0.000551
1889,0.000000,0.000574
1890,0.000000,0.000537
1891,0.000000,0.000576
1892,0.000000,0.000559
1893,0.000000,0.000526
1894,0.000000,0.000579
1895,0.000000,0.000601
1896,0.000000,0.000571
1897,0.000000,0.000461
1898,0.000000,0.000495
1899,0.000000,0.000498
1900,0.000000,0.000542
1901,0.000000,0.000515
1902,0.000000,0.000515
1903,0.000000,0.000459
1904,0.000000,0.000508
1905,0.000000,0.000500
1906,0.000000,0.000471
1907,0.000000,0.000479
1908,0.000000,0.000481
1909,0.000000,0.000493
1910,0.000000,0.000442
1911,0.000000,0.000466
1912,0.000000,0.000622
1913,0.000000,0.000578
1914,0.000004,0.000593
1915,0.000006,0.000608
1916,0.000000,0.000572
1917,0.000000,0.000589
1918,0.000000,0.000552
1919,0.000003,0.000576
1920,0.000003,0.000564
1921,0.000000,0.000562
1922,0.000000,0.000547
1923,0.000004,0.000539
1924,0.000000,0.000490
1925,0.000005,0.000488
1926,0.000003,0.000483
1927,0.000005,0.000508
1928,0.000003,0.000487
1929,0.000005,0.000456
1930,0.000002,0.000438
1931,0.000000,0.000442
1932,0.000003,0.000420
1933,0.000004,0.000431
1934,0.000003,0.000392
1935,0.000000,0.000378
1936,0.000000,0.000333
1937,0.000004,0.000350
1938,0.000002,0.000326
1939,0.000003,0.000322
1940,0.000000,0.000287
1941,0.000000,0.000304
1942,0.000000,0.000267
1943,0.000002,0.000242
1944,0.000000,0.000240
1945,0.000000,0.000226
1946,0.000000,0.000209
1947,0.000000,0.000206
1948,0.000002,0.000208
1949,0.000004,0.000196
1950,0.000000,0.000197
1951,0.000001,0.000163
1952,0.000000,0.000171
1953,0.000002,0.000169
1954,0.000000,0.000154
1955,0.000002,0.000135
1956,0.000000,0.000131
1957,0.000002,0.000130
1958,0.000000,0.000104
1959,0.000000,0.000109
1960,0.000001,0.000100
1961,0.000001,0.000093
1962,0.000001,0.000085
1963,0.000000,0.000081
1964,0.000000,0.000090
1965,0.000000,0.000084
1966,0.000000,0.000078
1967,0.000000,0.000080
1968,0.000000,0.000074
1969,0.000000,0.000065
1970,0.000000,0.000067
1971,0.000000,0.000074
1972,0.000000,0.000065
1973,0.000000,0.000058
1974,0.000000,0.000057
1975,0.000000,0.000048
1976,0.000000,0.000053
1977,0.000000,0.000050
1978,0.000000,0.000046
1979,0.000000,0.000046
1980,0.000000,0.000036
1981,0.000000,0.000036
1982,0.000000,0.000040
1983,0.000000,0.000033
1984,0.000000,0.000032
1985,0.000000,0.000028
1986,0.000000,0.000029
1987,0.000000,0.000023
1988,0.000000,0.000028
1989,0.000000,0.000030
1990,0.000000,0.000027
1991,0.000000,0.000029
1992,0.000000,0.000024
1993,0.000000,0.000024
1994,0.000000,0.000022
1995,0.000000,0.000019
1996,0.000000,0.000017
1997,0.000000,0.000013
1998,0.000000,0.000014
1999,0.000000,0.000012
2000,0.000000,0.000016
2001,0.000000,0.000016
2002,0.000000,0.000010
2003,0.000000,0.000010
2004,0.000000,0.000013
2005,0.000000,0.000009
2006,0.000000,0.000008
2007,0.000000,0.000007
2008,0.000000,0.000007
2009,0.000000,0.000006
2010,0.000000,0.000008
2011,0.000000,0.000010
2012,0.000000,0.000007
2013,0.000000,0.000005
