year,Honora
1880,5
1881,9
1882,5
1883,6
1884,7
1885,7
1886,5
1887,12
1888,10
1889,6
1890,9
1891,9
1892,10
1893,5
1894,8
1895,15
1896,11
1897,14
1898,11
1899,16
1900,9
1901,8
1902,8
1903,8
1904,6
1905,8
1906,5
1907,6
1908,11
1909,9
1910,9
1911,9
1912,14
1913,22
1914,24
1915,20
1916,24
1917,26
1918,26
1919,28
1920,21
1921,27
1922,16
1923,15
1924,15
1925,18
1926,21
1927,15
1928,14
1929,13
1930,21
1931,16
1932,16
1933,5
1934,12
1935,12
1936,12
1937,10
1938,21
1939,22
1940,10
1941,21
1942,14
1943,13
1944,11
1945,17
1946,15
1947,20
1948,26
1949,25
1950,16
1951,13
1952,15
1953,11
1954,19
1955,17
1956,8
1957,12
1958,8
1959,6
1960,12
1961,8
1962,7
1963,9
1964,11
1965,9
1966,7
1967,5
1968,13
1969,5
1970,0
1971,12
1972,0
1973,6
1974,6
1975,10
1976,7
1977,0
1978,0
1979,5
1980,0
1981,6
1982,7
1983,6
1984,5
1985,9
1986,11
1987,9
1988,7
1989,0
1990,0
1991,0
1992,7
1993,6
1994,0
1995,0
1996,7
1997,0
1998,8
1999,5
2000,7
2001,0
2002,8
2003,19
2004,7
2005,14
2006,13
2007,15
2008,16
2009,15
2010,9
2011,23
2012,22
