year,Herminio
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,5
1915,0
1916,0
1917,0
1918,0
1919,9
1920,6
1921,8
1922,0
1923,8
1924,6
1925,8
1926,0
1927,14
1928,14
1929,11
1930,12
1931,5
1932,13
1933,7
1934,9
1935,14
1936,9
1937,0
1938,7
1939,13
1940,12
1941,11
1942,6
1943,6
1944,12
1945,10
1946,14
1947,8
1948,12
1949,13
1950,12
1951,11
1952,13
1953,14
1954,12
1955,12
1956,25
1957,15
1958,28
1959,16
1960,23
1961,17
1962,17
1963,15
1964,21
1965,28
1966,14
1967,20
1968,30
1969,26
1970,20
1971,20
1972,21
1973,18
1974,16
1975,25
1976,19
1977,21
1978,19
1979,19
1980,22
1981,29
1982,20
1983,21
1984,22
1985,14
1986,15
1987,17
1988,18
1989,14
1990,11
1991,25
1992,17
1993,15
1994,12
1995,19
1996,20
1997,12
1998,18
1999,13
2000,13
2001,15
2002,8
2003,7
2004,13
2005,23
2006,11
2007,14
2008,8
2009,14
2010,0
2011,10
2012,9
