year,Hilton (F),Hilton (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000023
1883,0.000000,0.000028
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000020
1887,0.000000,0.000028
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000017
1891,0.000000,0.000017
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000015
1895,0.000000,0.000023
1896,0.000000,0.000022
1897,0.000000,0.000017
1898,0.000000,0.000029
1899,0.000000,0.000024
1900,0.000000,0.000016
1901,0.000000,0.000023
1902,0.000000,0.000028
1903,0.000000,0.000026
1904,0.000000,0.000022
1905,0.000000,0.000050
1906,0.000000,0.000035
1907,0.000000,0.000039
1908,0.000000,0.000020
1909,0.000000,0.000027
1910,0.000000,0.000036
1911,0.000000,0.000040
1912,0.000000,0.000039
1913,0.000000,0.000042
1914,0.000000,0.000045
1915,0.000003,0.000046
1916,0.000000,0.000053
1917,0.000000,0.000055
1918,0.000000,0.000052
1919,0.000000,0.000046
1920,0.000002,0.000061
1921,0.000000,0.000045
1922,0.000000,0.000059
1923,0.000000,0.000049
1924,0.000000,0.000057
1925,0.000002,0.000050
1926,0.000000,0.000051
1927,0.000000,0.000048
1928,0.000000,0.000054
1929,0.000000,0.000050
1930,0.000000,0.000048
1931,0.000000,0.000056
1932,0.000000,0.000037
1933,0.000000,0.000050
1934,0.000000,0.000042
1935,0.000000,0.000049
1936,0.000000,0.000028
1937,0.000000,0.000041
1938,0.000000,0.000038
1939,0.000000,0.000044
1940,0.000000,0.000041
1941,0.000000,0.000039
1942,0.000000,0.000034
1943,0.000000,0.000035
1944,0.000000,0.000027
1945,0.000000,0.000032
1946,0.000000,0.000026
1947,0.000000,0.000024
1948,0.000000,0.000029
1949,0.000000,0.000022
1950,0.000000,0.000028
1951,0.000000,0.000023
1952,0.000000,0.000029
1953,0.000000,0.000019
1954,0.000000,0.000022
1955,0.000000,0.000020
1956,0.000000,0.000025
1957,0.000000,0.000022
1958,0.000000,0.000020
1959,0.000000,0.000019
1960,0.000000,0.000021
1961,0.000000,0.000015
1962,0.000000,0.000016
1963,0.000000,0.000019
1964,0.000000,0.000016
1965,0.000000,0.000012
1966,0.000000,0.000014
1967,0.000000,0.000011
1968,0.000000,0.000014
1969,0.000000,0.000017
1970,0.000000,0.000015
1971,0.000000,0.000009
1972,0.000000,0.000015
1973,0.000000,0.000010
1974,0.000000,0.000010
1975,0.000000,0.000011
1976,0.000000,0.000008
1977,0.000000,0.000013
1978,0.000000,0.000008
1979,0.000000,0.000011
1980,0.000000,0.000010
1981,0.000000,0.000008
1982,0.000000,0.000008
1983,0.000000,0.000009
1984,0.000000,0.000006
1985,0.000000,0.000008
1986,0.000000,0.000008
1987,0.000000,0.000007
1988,0.000000,0.000009
1989,0.000000,0.000006
1990,0.000000,0.000008
1991,0.000000,0.000007
1992,0.000000,0.000009
1993,0.000000,0.000006
1994,0.000000,0.000005
1995,0.000000,0.000007
1996,0.000000,0.000004
1997,0.000000,0.000008
1998,0.000000,0.000008
1999,0.000000,0.000006
2000,0.000000,0.000009
2001,0.000000,0.000009
2002,0.000000,0.000009
2003,0.000000,0.000006
2004,0.000000,0.000009
2005,0.000000,0.000007
2006,0.000000,0.000008
2007,0.000000,0.000008
2008,0.000000,0.000006
2009,0.000000,0.000006
2010,0.000001,0.000008
2011,0.000000,0.000005
2012,0.000000,0.000006
2013,0.000000,0.000006
