year,Harley (F),Harley (M)
1880,0.000000,0.000347
1881,0.000000,0.000317
1882,0.000000,0.000339
1883,0.000000,0.000290
1884,0.000000,0.000300
1885,0.000000,0.000212
1886,0.000000,0.000286
1887,0.000000,0.000311
1888,0.000000,0.000274
1889,0.000000,0.000208
1890,0.000000,0.000173
1891,0.000000,0.000223
1892,0.000000,0.000272
1893,0.000000,0.000234
1894,0.000000,0.000186
1895,0.000000,0.000194
1896,0.000000,0.000179
1897,0.000000,0.000236
1898,0.000000,0.000186
1899,0.000000,0.000174
1900,0.000000,0.000175
1901,0.000000,0.000182
1902,0.000000,0.000215
1903,0.000000,0.000171
1904,0.000000,0.000139
1905,0.000000,0.000163
1906,0.000000,0.000121
1907,0.000000,0.000161
1908,0.000000,0.000145
1909,0.000000,0.000143
1910,0.000000,0.000151
1911,0.000000,0.000137
1912,0.000000,0.000199
1913,0.000000,0.000179
1914,0.000000,0.000227
1915,0.000000,0.000237
1916,0.000003,0.000235
1917,0.000000,0.000214
1918,0.000000,0.000226
1919,0.000003,0.000215
1920,0.000000,0.000214
1921,0.000000,0.000230
1922,0.000000,0.000230
1923,0.000000,0.000208
1924,0.000004,0.000218
1925,0.000003,0.000198
1926,0.000000,0.000214
1927,0.000003,0.000197
1928,0.000000,0.000214
1929,0.000000,0.000193
1930,0.000003,0.000205
1931,0.000000,0.000208
1932,0.000004,0.000188
1933,0.000003,0.000176
1934,0.000000,0.000180
1935,0.000000,0.000175
1936,0.000000,0.000170
1937,0.000000,0.000170
1938,0.000003,0.000157
1939,0.000003,0.000151
1940,0.000000,0.000150
1941,0.000000,0.000134
1942,0.000000,0.000117
1943,0.000000,0.000125
1944,0.000000,0.000115
1945,0.000000,0.000116
1946,0.000000,0.000100
1947,0.000000,0.000093
1948,0.000000,0.000085
1949,0.000000,0.000086
1950,0.000000,0.000075
1951,0.000000,0.000070
1952,0.000001,0.000072
1953,0.000001,0.000066
1954,0.000000,0.000061
1955,0.000000,0.000056
1956,0.000000,0.000057
1957,0.000000,0.000056
1958,0.000000,0.000043
1959,0.000000,0.000043
1960,0.000000,0.000041
1961,0.000000,0.000040
1962,0.000000,0.000034
1963,0.000000,0.000034
1964,0.000000,0.000038
1965,0.000000,0.000034
1966,0.000000,0.000040
1967,0.000000,0.000037
1968,0.000001,0.000036
1969,0.000000,0.000033
1970,0.000002,0.000036
1971,0.000001,0.000039
1972,0.000002,0.000043
1973,0.000000,0.000043
1974,0.000000,0.000056
1975,0.000003,0.000047
1976,0.000000,0.000056
1977,0.000002,0.000059
1978,0.000002,0.000075
1979,0.000002,0.000073
1980,0.000003,0.000082
1981,0.000003,0.000070
1982,0.000003,0.000070
1983,0.000003,0.000061
1984,0.000004,0.000060
1985,0.000004,0.000063
1986,0.000005,0.000057
1987,0.000004,0.000052
1988,0.000009,0.000062
1989,0.000021,0.000070
1990,0.000039,0.000074
1991,0.000081,0.000090
1992,0.000119,0.000145
1993,0.000191,0.000193
1994,0.000231,0.000212
1995,0.000205,0.000178
1996,0.000200,0.000165
1997,0.000193,0.000156
1998,0.000224,0.000146
1999,0.000204,0.000134
2000,0.000200,0.000141
2001,0.000219,0.000141
2002,0.000233,0.000154
2003,0.000261,0.000161
2004,0.000230,0.000146
2005,0.000219,0.000126
2006,0.000211,0.000125
2007,0.000167,0.000104
2008,0.000198,0.000107
2009,0.000199,0.000121
2010,0.000194,0.000119
2011,0.000195,0.000099
2012,0.000206,0.000104
2013,0.000241,0.000109
