year,Henriette
1880,0
1881,5
1882,9
1883,0
1884,9
1885,5
1886,8
1887,9
1888,13
1889,9
1890,8
1891,13
1892,13
1893,7
1894,19
1895,15
1896,15
1897,16
1898,13
1899,20
1900,18
1901,6
1902,15
1903,18
1904,15
1905,10
1906,18
1907,14
1908,13
1909,17
1910,12
1911,21
1912,25
1913,24
1914,31
1915,53
1916,49
1917,42
1918,34
1919,41
1920,41
1921,34
1922,27
1923,25
1924,35
1925,27
1926,17
1927,19
1928,13
1929,23
1930,18
1931,14
1932,6
1933,6
1934,15
1935,10
1936,10
1937,9
1938,15
1939,15
1940,17
1941,19
1942,20
1943,13
1944,13
1945,0
1946,8
1947,7
1948,13
1949,5
1950,10
1951,6
1952,9
1953,5
1954,6
1955,5
1956,7
1957,0
1958,0
1959,0
1960,8
1961,6
1962,11
1963,0
1964,5
1965,5
1966,6
1967,8
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,5
1988,0
1989,0
1990,0
1991,0
1992,0
1993,5
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,7
2005,5
2006,0
2007,5
2008,5
2009,0
2010,6
2011,6
2012,0
