year,Harding
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,6
1914,0
1915,8
1916,7
1917,13
1918,8
1919,28
1920,229
1921,235
1922,92
1923,62
1924,33
1925,11
1926,9
1927,11
1928,5
1929,8
1930,8
1931,5
1932,5
1933,0
1934,6
1935,5
1936,5
1937,5
1938,5
1939,0
1940,0
1941,5
1942,18
1943,15
1944,11
1945,14
1946,16
1947,24
1948,20
1949,7
1950,12
1951,13
1952,8
1953,10
1954,6
1955,6
1956,6
1957,9
1958,7
1959,5
1960,0
1961,0
1962,0
1963,5
1964,0
1965,10
1966,0
1967,6
1968,0
1969,6
1970,0
1971,6
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,6
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,6
2007,0
2008,0
2009,0
2010,0
2011,0
2012,6
