year,Hertha
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,8
1887,12
1888,10
1889,10
1890,10
1891,14
1892,17
1893,11
1894,15
1895,20
1896,25
1897,22
1898,21
1899,26
1900,24
1901,14
1902,33
1903,27
1904,22
1905,13
1906,22
1907,8
1908,23
1909,35
1910,27
1911,20
1912,34
1913,46
1914,49
1915,61
1916,65
1917,56
1918,51
1919,42
1920,47
1921,38
1922,26
1923,33
1924,34
1925,28
1926,25
1927,31
1928,27
1929,23
1930,18
1931,13
1932,15
1933,21
1934,11
1935,7
1936,10
1937,10
1938,10
1939,9
1940,13
1941,18
1942,13
1943,6
1944,9
1945,10
1946,5
1947,5
1948,6
1949,5
1950,0
1951,5
1952,5
1953,0
1954,0
1955,6
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,6
1963,7
1964,0
1965,5
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
