year,Helga
1880,0
1881,0
1882,5
1883,0
1884,9
1885,6
1886,14
1887,9
1888,14
1889,14
1890,17
1891,20
1892,22
1893,20
1894,17
1895,19
1896,25
1897,21
1898,27
1899,29
1900,18
1901,17
1902,12
1903,15
1904,19
1905,21
1906,14
1907,23
1908,16
1909,12
1910,20
1911,20
1912,27
1913,29
1914,33
1915,40
1916,46
1917,43
1918,37
1919,29
1920,22
1921,20
1922,34
1923,28
1924,21
1925,19
1926,23
1927,16
1928,25
1929,23
1930,18
1931,28
1932,17
1933,18
1934,20
1935,17
1936,18
1937,26
1938,33
1939,27
1940,28
1941,12
1942,19
1943,14
1944,12
1945,15
1946,12
1947,13
1948,12
1949,8
1950,16
1951,13
1952,24
1953,17
1954,27
1955,30
1956,26
1957,35
1958,49
1959,45
1960,40
1961,53
1962,35
1963,38
1964,32
1965,26
1966,31
1967,29
1968,24
1969,29
1970,18
1971,28
1972,15
1973,19
1974,13
1975,15
1976,14
1977,14
1978,14
1979,11
1980,7
1981,0
1982,7
1983,0
1984,9
1985,0
1986,0
1987,0
1988,5
1989,0
1990,5
1991,5
1992,6
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
