year,Helyn
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,8
1898,0
1899,5
1900,0
1901,0
1902,0
1903,8
1904,9
1905,11
1906,11
1907,9
1908,7
1909,6
1910,13
1911,18
1912,32
1913,31
1914,26
1915,40
1916,52
1917,62
1918,55
1919,42
1920,57
1921,48
1922,35
1923,52
1924,41
1925,28
1926,45
1927,20
1928,28
1929,19
1930,13
1931,10
1932,9
1933,12
1934,11
1935,7
1936,8
1937,0
1938,9
1939,10
1940,10
1941,9
1942,0
1943,0
1944,9
1945,12
1946,9
1947,7
1948,11
1949,8
1950,11
1951,5
1952,0
1953,6
1954,9
1955,7
1956,9
1957,6
1958,9
1959,5
1960,6
1961,0
1962,0
1963,0
1964,5
1965,0
1966,0
1967,0
1968,0
1969,6
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,7
2007,6
2008,0
2009,0
2010,0
2011,0
2012,0
