year,Huldah
1880,8
1881,10
1882,12
1883,12
1884,14
1885,11
1886,11
1887,15
1888,15
1889,13
1890,17
1891,16
1892,16
1893,14
1894,18
1895,23
1896,18
1897,16
1898,27
1899,12
1900,23
1901,16
1902,14
1903,12
1904,16
1905,18
1906,10
1907,6
1908,10
1909,10
1910,17
1911,9
1912,16
1913,15
1914,14
1915,19
1916,18
1917,15
1918,24
1919,19
1920,35
1921,13
1922,31
1923,16
1924,18
1925,12
1926,15
1927,15
1928,11
1929,10
1930,6
1931,5
1932,6
1933,5
1934,14
1935,5
1936,0
1937,0
1938,0
1939,0
1940,0
1941,5
1942,12
1943,0
1944,5
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,7
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,5
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
