year,Harvy
1880,0
1881,5
1882,0
1883,0
1884,5
1885,9
1886,7
1887,0
1888,8
1889,0
1890,6
1891,5
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,6
1899,7
1900,6
1901,0
1902,6
1903,0
1904,6
1905,5
1906,0
1907,9
1908,8
1909,6
1910,7
1911,0
1912,6
1913,15
1914,16
1915,11
1916,19
1917,17
1918,26
1919,22
1920,22
1921,39
1922,19
1923,39
1924,31
1925,30
1926,35
1927,31
1928,38
1929,29
1930,24
1931,22
1932,27
1933,23
1934,24
1935,30
1936,20
1937,20
1938,15
1939,9
1940,20
1941,15
1942,19
1943,16
1944,16
1945,11
1946,9
1947,10
1948,9
1949,5
1950,10
1951,0
1952,0
1953,0
1954,6
1955,0
1956,7
1957,6
1958,6
1959,0
1960,0
1961,0
1962,5
1963,5
1964,6
1965,0
1966,5
1967,0
1968,0
1969,0
1970,6
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,6
2009,0
2010,0
2011,0
2012,0
