year,Hezekiah
1880,11
1881,12
1882,7
1883,15
1884,9
1885,9
1886,7
1887,13
1888,9
1889,16
1890,6
1891,17
1892,13
1893,12
1894,9
1895,16
1896,13
1897,15
1898,13
1899,12
1900,20
1901,0
1902,12
1903,5
1904,13
1905,12
1906,11
1907,18
1908,10
1909,11
1910,14
1911,16
1912,29
1913,29
1914,42
1915,32
1916,24
1917,46
1918,52
1919,44
1920,47
1921,35
1922,42
1923,51
1924,44
1925,38
1926,32
1927,37
1928,28
1929,42
1930,32
1931,25
1932,34
1933,24
1934,22
1935,32
1936,25
1937,31
1938,29
1939,24
1940,21
1941,18
1942,26
1943,29
1944,28
1945,33
1946,28
1947,31
1948,34
1949,37
1950,31
1951,35
1952,28
1953,20
1954,37
1955,22
1956,15
1957,23
1958,15
1959,27
1960,14
1961,18
1962,17
1963,18
1964,12
1965,14
1966,14
1967,11
1968,9
1969,16
1970,11
1971,15
1972,24
1973,8
1974,9
1975,17
1976,14
1977,11
1978,22
1979,22
1980,21
1981,16
1982,13
1983,11
1984,14
1985,11
1986,13
1987,15
1988,11
1989,27
1990,20
1991,28
1992,30
1993,32
1994,40
1995,43
1996,61
1997,64
1998,84
1999,99
2000,127
2001,137
2002,148
2003,147
2004,165
2005,157
2006,230
2007,214
2008,222
2009,239
2010,217
2011,239
2012,265
