year,Hulda
1880,60
1881,44
1882,67
1883,71
1884,86
1885,113
1886,85
1887,108
1888,126
1889,139
1890,147
1891,138
1892,126
1893,137
1894,144
1895,167
1896,129
1897,130
1898,138
1899,118
1900,110
1901,104
1902,89
1903,108
1904,92
1905,97
1906,75
1907,86
1908,66
1909,76
1910,75
1911,76
1912,84
1913,92
1914,98
1915,131
1916,148
1917,124
1918,101
1919,131
1920,93
1921,101
1922,95
1923,83
1924,70
1925,71
1926,63
1927,48
1928,44
1929,41
1930,35
1931,34
1932,31
1933,27
1934,20
1935,21
1936,16
1937,15
1938,21
1939,20
1940,11
1941,22
1942,15
1943,15
1944,14
1945,11
1946,17
1947,10
1948,6
1949,8
1950,12
1951,14
1952,7
1953,8
1954,10
1955,9
1956,9
1957,0
1958,0
1959,0
1960,0
1961,0
1962,5
1963,0
1964,0
1965,6
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,7
1977,0
1978,0
1979,0
1980,5
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
