year,Harmon (F),Harmon (M)
1880,0.000000,0.000114
1881,0.000000,0.000093
1882,0.000000,0.000090
1883,0.000000,0.000078
1884,0.000000,0.000086
1885,0.000000,0.000079
1886,0.000000,0.000070
1887,0.000000,0.000085
1888,0.000000,0.000060
1889,0.000000,0.000087
1890,0.000000,0.000090
1891,0.000000,0.000073
1892,0.000000,0.000048
1893,0.000000,0.000055
1894,0.000000,0.000059
1895,0.000000,0.000043
1896,0.000000,0.000031
1897,0.000000,0.000040
1898,0.000000,0.000050
1899,0.000000,0.000071
1900,0.000000,0.000051
1901,0.000000,0.000055
1902,0.000000,0.000034
1903,0.000000,0.000045
1904,0.000000,0.000055
1905,0.000000,0.000050
1906,0.000000,0.000033
1907,0.000000,0.000039
1908,0.000000,0.000065
1909,0.000000,0.000057
1910,0.000000,0.000047
1911,0.000000,0.000048
1912,0.000000,0.000068
1913,0.000000,0.000075
1914,0.000000,0.000067
1915,0.000000,0.000064
1916,0.000000,0.000062
1917,0.000000,0.000059
1918,0.000000,0.000064
1919,0.000000,0.000068
1920,0.000000,0.000057
1921,0.000000,0.000072
1922,0.000000,0.000050
1923,0.000000,0.000056
1924,0.000000,0.000057
1925,0.000000,0.000048
1926,0.000000,0.000058
1927,0.000000,0.000057
1928,0.000000,0.000050
1929,0.000000,0.000051
1930,0.000000,0.000055
1931,0.000002,0.000046
1932,0.000000,0.000055
1933,0.000000,0.000052
1934,0.000000,0.000044
1935,0.000000,0.000056
1936,0.000000,0.000046
1937,0.000000,0.000043
1938,0.000000,0.000038
1939,0.000000,0.000033
1940,0.000000,0.000044
1941,0.000000,0.000040
1942,0.000000,0.000029
1943,0.000000,0.000036
1944,0.000000,0.000019
1945,0.000000,0.000028
1946,0.000000,0.000023
1947,0.000000,0.000029
1948,0.000000,0.000021
1949,0.000000,0.000019
1950,0.000000,0.000015
1951,0.000000,0.000017
1952,0.000000,0.000015
1953,0.000000,0.000020
1954,0.000000,0.000014
1955,0.000000,0.000014
1956,0.000000,0.000013
1957,0.000000,0.000010
1958,0.000000,0.000011
1959,0.000000,0.000013
1960,0.000000,0.000010
1961,0.000000,0.000011
1962,0.000000,0.000011
1963,0.000000,0.000008
1964,0.000000,0.000012
1965,0.000000,0.000008
1966,0.000000,0.000008
1967,0.000000,0.000008
1968,0.000000,0.000007
1969,0.000000,0.000007
1970,0.000000,0.000010
1971,0.000000,0.000007
1972,0.000000,0.000008
1973,0.000000,0.000004
1974,0.000000,0.000005
1975,0.000000,0.000005
1976,0.000000,0.000005
1977,0.000000,0.000007
1978,0.000000,0.000007
1979,0.000000,0.000005
1980,0.000000,0.000004
1981,0.000000,0.000005
1982,0.000000,0.000003
1983,0.000000,0.000003
1984,0.000000,0.000003
1985,0.000000,0.000002
1986,0.000000,0.000002
1987,0.000000,0.000003
1988,0.000000,0.000003
1989,0.000000,0.000003
1990,0.000000,0.000004
1991,0.000000,0.000002
1992,0.000000,0.000004
1993,0.000000,0.000002
1994,0.000000,0.000003
1995,0.000000,0.000003
1996,0.000000,0.000003
1997,0.000000,0.000004
1998,0.000000,0.000007
1999,0.000000,0.000008
2000,0.000000,0.000008
2001,0.000000,0.000008
2002,0.000000,0.000010
2003,0.000000,0.000009
2004,0.000000,0.000008
2005,0.000000,0.000007
2006,0.000000,0.000009
2007,0.000002,0.000006
2008,0.000000,0.000005
2009,0.000000,0.000003
2010,0.000000,0.000007
2011,0.000000,0.000005
2012,0.000001,0.000008
