year,Heriberto (F),Heriberto (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000000,0.000000
1911,0.000000,0.000000
1912,0.000000,0.000000
1913,0.000000,0.000000
1914,0.000000,0.000000
1915,0.000000,0.000000
1916,0.000000,0.000004
1917,0.000000,0.000003
1918,0.000000,0.000000
1919,0.000000,0.000003
1920,0.000000,0.000008
1921,0.000000,0.000004
1922,0.000000,0.000007
1923,0.000000,0.000005
1924,0.000000,0.000007
1925,0.000000,0.000009
1926,0.000000,0.000007
1927,0.000000,0.000008
1928,0.000000,0.000005
1929,0.000000,0.000011
1930,0.000000,0.000011
1931,0.000000,0.000008
1932,0.000000,0.000008
1933,0.000000,0.000006
1934,0.000000,0.000010
1935,0.000000,0.000008
1936,0.000000,0.000012
1937,0.000000,0.000011
1938,0.000000,0.000007
1939,0.000000,0.000007
1940,0.000000,0.000009
1941,0.000000,0.000006
1942,0.000000,0.000004
1943,0.000000,0.000007
1944,0.000000,0.000008
1945,0.000000,0.000007
1946,0.000000,0.000005
1947,0.000000,0.000005
1948,0.000000,0.000008
1949,0.000000,0.000005
1950,0.000000,0.000011
1951,0.000000,0.000008
1952,0.000000,0.000009
1953,0.000000,0.000012
1954,0.000000,0.000015
1955,0.000000,0.000014
1956,0.000000,0.000015
1957,0.000000,0.000014
1958,0.000000,0.000017
1959,0.000000,0.000019
1960,0.000000,0.000022
1961,0.000000,0.000019
1962,0.000000,0.000027
1963,0.000000,0.000030
1964,0.000000,0.000029
1965,0.000000,0.000030
1966,0.000000,0.000029
1967,0.000000,0.000028
1968,0.000000,0.000031
1969,0.000000,0.000035
1970,0.000000,0.000032
1971,0.000000,0.000037
1972,0.000000,0.000040
1973,0.000000,0.000048
1974,0.000000,0.000049
1975,0.000000,0.000048
1976,0.000002,0.000050
1977,0.000000,0.000048
1978,0.000000,0.000043
1979,0.000000,0.000042
1980,0.000000,0.000054
1981,0.000002,0.000050
1982,0.000000,0.000044
1983,0.000000,0.000044
1984,0.000000,0.000044
1985,0.000000,0.000042
1986,0.000000,0.000048
1987,0.000000,0.000047
1988,0.000000,0.000049
1989,0.000001,0.000049
1990,0.000000,0.000056
1991,0.000000,0.000061
1992,0.000000,0.000054
1993,0.000000,0.000066
1994,0.000000,0.000062
1995,0.000000,0.000056
1996,0.000000,0.000053
1997,0.000000,0.000049
1998,0.000000,0.000047
1999,0.000000,0.000066
2000,0.000000,0.000045
2001,0.000000,0.000053
2002,0.000000,0.000057
2003,0.000000,0.000049
2004,0.000000,0.000051
2005,0.000000,0.000043
2006,0.000000,0.000045
2007,0.000000,0.000041
2008,0.000000,0.000035
2009,0.000000,0.000033
2010,0.000000,0.000028
2011,0.000000,0.000028
2012,0.000000,0.000021
2013,0.000000,0.000023
