year,Hunter (F),Hunter (M)
1880,0.000000,0.000060
1881,0.000000,0.000031
1882,0.000000,0.000045
1883,0.000000,0.000028
1884,0.000000,0.000025
1885,0.000000,0.000042
1886,0.000000,0.000027
1887,0.000000,0.000000
1888,0.000000,0.000053
1889,0.000000,0.000038
1890,0.000000,0.000027
1891,0.000000,0.000038
1892,0.000000,0.000033
1893,0.000000,0.000037
1894,0.000000,0.000027
1895,0.000000,0.000020
1896,0.000000,0.000042
1897,0.000000,0.000023
1898,0.000000,0.000026
1899,0.000000,0.000029
1900,0.000000,0.000027
1901,0.000000,0.000023
1902,0.000016,0.000039
1903,0.000000,0.000013
1904,0.000000,0.000042
1905,0.000000,0.000033
1906,0.000000,0.000030
1907,0.000000,0.000028
1908,0.000000,0.000031
1909,0.000000,0.000025
1910,0.000000,0.000027
1911,0.000000,0.000026
1912,0.000000,0.000028
1913,0.000000,0.000032
1914,0.000000,0.000030
1915,0.000000,0.000027
1916,0.000000,0.000024
1917,0.000000,0.000030
1918,0.000000,0.000031
1919,0.000000,0.000026
1920,0.000000,0.000030
1921,0.000002,0.000021
1922,0.000000,0.000024
1923,0.000000,0.000030
1924,0.000000,0.000028
1925,0.000000,0.000015
1926,0.000000,0.000026
1927,0.000000,0.000024
1928,0.000000,0.000024
1929,0.000000,0.000028
1930,0.000000,0.000018
1931,0.000000,0.000024
1932,0.000000,0.000025
1933,0.000000,0.000017
1934,0.000000,0.000022
1935,0.000000,0.000021
1936,0.000000,0.000011
1937,0.000000,0.000016
1938,0.000000,0.000014
1939,0.000000,0.000018
1940,0.000000,0.000016
1941,0.000000,0.000014
1942,0.000000,0.000015
1943,0.000000,0.000015
1944,0.000000,0.000015
1945,0.000000,0.000018
1946,0.000000,0.000019
1947,0.000000,0.000019
1948,0.000000,0.000014
1949,0.000000,0.000015
1950,0.000000,0.000014
1951,0.000000,0.000013
1952,0.000000,0.000013
1953,0.000000,0.000011
1954,0.000000,0.000017
1955,0.000000,0.000014
1956,0.000000,0.000015
1957,0.000001,0.000017
1958,0.000000,0.000015
1959,0.000000,0.000016
1960,0.000000,0.000017
1961,0.000000,0.000017
1962,0.000000,0.000019
1963,0.000000,0.000017
1964,0.000000,0.000020
1965,0.000000,0.000019
1966,0.000001,0.000019
1967,0.000000,0.000024
1968,0.000000,0.000027
1969,0.000000,0.000028
1970,0.000000,0.000031
1971,0.000000,0.000029
1972,0.000000,0.000027
1973,0.000002,0.000029
1974,0.000000,0.000030
1975,0.000000,0.000036
1976,0.000004,0.000043
1977,0.000003,0.000050
1978,0.000003,0.000046
1979,0.000003,0.000059
1980,0.000003,0.000071
1981,0.000004,0.000077
1982,0.000002,0.000090
1983,0.000004,0.000103
1984,0.000005,0.000132
1985,0.000006,0.000159
1986,0.000007,0.000189
1987,0.000004,0.000224
1988,0.000010,0.000265
1989,0.000008,0.000314
1990,0.000009,0.000352
1991,0.000010,0.000495
1992,0.000031,0.000661
1993,0.000125,0.001006
1994,0.000221,0.001502
1995,0.000211,0.001834
1996,0.000214,0.002085
1997,0.000201,0.002318
1998,0.000271,0.003012
1999,0.000229,0.003110
2000,0.000189,0.003318
2001,0.000168,0.003029
2002,0.000126,0.002966
2003,0.000085,0.002604
2004,0.000092,0.002330
2005,0.000061,0.002214
2006,0.000062,0.002168
2007,0.000053,0.002055
2008,0.000050,0.002047
2009,0.000049,0.002029
2010,0.000048,0.001983
2011,0.000054,0.002017
2012,0.000057,0.002200
2013,0.000075,0.002463
2014,0.000098,0.002383
2015,0.000096,0.002258
2016,0.000092,0.002092
2017,0.000107,0.001887
2018,0.000094,0.001739
2019,0.000089,0.001554
2020,0.000098,0.001435
