year,Hortensia
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,5
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,5
1905,0
1906,0
1907,0
1908,0
1909,0
1910,7
1911,0
1912,10
1913,9
1914,14
1915,19
1916,19
1917,17
1918,25
1919,24
1920,30
1921,35
1922,30
1923,44
1924,42
1925,44
1926,40
1927,65
1928,66
1929,48
1930,43
1931,34
1932,36
1933,36
1934,32
1935,34
1936,33
1937,23
1938,29
1939,23
1940,29
1941,19
1942,24
1943,22
1944,34
1945,28
1946,25
1947,22
1948,23
1949,30
1950,36
1951,31
1952,26
1953,24
1954,24
1955,25
1956,29
1957,23
1958,20
1959,28
1960,23
1961,16
1962,19
1963,21
1964,17
1965,20
1966,17
1967,19
1968,15
1969,8
1970,11
1971,11
1972,11
1973,13
1974,9
1975,11
1976,10
1977,8
1978,7
1979,6
1980,15
1981,7
1982,0
1983,8
1984,10
1985,5
1986,0
1987,0
1988,5
1989,0
1990,6
1991,6
1992,6
1993,5
1994,0
1995,5
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
