year,Hinton
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,5
1909,0
1910,0
1911,7
1912,12
1913,8
1914,10
1915,16
1916,12
1917,11
1918,10
1919,13
1920,20
1921,11
1922,10
1923,16
1924,19
1925,14
1926,7
1927,15
1928,13
1929,10
1930,11
1931,9
1932,12
1933,8
1934,10
1935,9
1936,10
1937,15
1938,10
1939,5
1940,10
1941,9
1942,12
1943,0
1944,13
1945,11
1946,5
1947,9
1948,7
1949,9
1950,10
1951,6
1952,6
1953,8
1954,8
1955,8
1956,6
1957,0
1958,0
1959,5
1960,0
1961,0
1962,0
1963,13
1964,0
1965,0
1966,5
1967,0
1968,0
1969,0
1970,6
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,7
2008,0
2009,0
2010,0
2011,5
2012,13
