year,Homer (F),Homer (M)
1880,0.000000,0.001017
1881,0.000000,0.000939
1882,0.000000,0.000858
1883,0.000000,0.000968
1884,0.000000,0.000887
1885,0.000000,0.000947
1886,0.000000,0.000877
1887,0.000000,0.001002
1888,0.000000,0.000855
1889,0.000000,0.000882
1890,0.000000,0.000740
1891,0.000000,0.000802
1892,0.000000,0.000900
1893,0.000000,0.000901
1894,0.000015,0.000806
1895,0.000000,0.000843
1896,0.000014,0.000722
1897,0.000000,0.000801
1898,0.000000,0.000645
1899,0.000000,0.000705
1900,0.000000,0.000724
1901,0.000000,0.000743
1902,0.000000,0.000696
1903,0.000000,0.000674
1904,0.000000,0.000634
1905,0.000000,0.000750
1906,0.000000,0.000623
1907,0.000000,0.000670
1908,0.000000,0.000696
1909,0.000012,0.000612
1910,0.000008,0.000587
1911,0.000000,0.000650
1912,0.000000,0.000804
1913,0.000006,0.000868
1914,0.000006,0.000813
1915,0.000007,0.000811
1916,0.000006,0.000778
1917,0.000004,0.000774
1918,0.000007,0.000773
1919,0.000005,0.000734
1920,0.000005,0.000761
1921,0.000007,0.000710
1922,0.000007,0.000712
1923,0.000005,0.000671
1924,0.000009,0.000692
1925,0.000007,0.000662
1926,0.000004,0.000655
1927,0.000008,0.000590
1928,0.000008,0.000584
1929,0.000006,0.000550
1930,0.000005,0.000527
1931,0.000004,0.000524
1932,0.000005,0.000501
1933,0.000000,0.000483
1934,0.000003,0.000451
1935,0.000004,0.000392
1936,0.000003,0.000400
1937,0.000000,0.000417
1938,0.000000,0.000387
1939,0.000003,0.000355
1940,0.000003,0.000336
1941,0.000000,0.000319
1942,0.000000,0.000286
1943,0.000004,0.000285
1944,0.000003,0.000275
1945,0.000002,0.000242
1946,0.000002,0.000186
1947,0.000000,0.000177
1948,0.000001,0.000179
1949,0.000000,0.000169
1950,0.000002,0.000158
1951,0.000000,0.000146
1952,0.000000,0.000143
1953,0.000000,0.000125
1954,0.000000,0.000115
1955,0.000000,0.000103
1956,0.000000,0.000113
1957,0.000000,0.000098
1958,0.000001,0.000091
1959,0.000000,0.000089
1960,0.000000,0.000078
1961,0.000001,0.000079
1962,0.000000,0.000077
1963,0.000000,0.000065
1964,0.000000,0.000068
1965,0.000001,0.000064
1966,0.000000,0.000064
1967,0.000000,0.000051
1968,0.000000,0.000057
1969,0.000000,0.000056
1970,0.000000,0.000050
1971,0.000000,0.000056
1972,0.000000,0.000045
1973,0.000000,0.000039
1974,0.000000,0.000047
1975,0.000000,0.000037
1976,0.000000,0.000036
1977,0.000000,0.000035
1978,0.000000,0.000032
1979,0.000000,0.000030
1980,0.000000,0.000031
1981,0.000000,0.000028
1982,0.000000,0.000022
1983,0.000000,0.000025
1984,0.000000,0.000021
1985,0.000000,0.000022
1986,0.000000,0.000020
1987,0.000000,0.000015
1988,0.000000,0.000014
1989,0.000000,0.000013
1990,0.000000,0.000015
1991,0.000000,0.000010
1992,0.000000,0.000013
1993,0.000000,0.000008
1994,0.000000,0.000008
1995,0.000000,0.000009
1996,0.000000,0.000010
1997,0.000000,0.000008
1998,0.000000,0.000009
1999,0.000000,0.000007
2000,0.000000,0.000006
2001,0.000000,0.000005
2002,0.000000,0.000008
2003,0.000000,0.000002
2004,0.000000,0.000006
2005,0.000000,0.000005
2006,0.000000,0.000005
2007,0.000000,0.000006
2008,0.000000,0.000007
2009,0.000000,0.000003
2010,0.000000,0.000007
2011,0.000000,0.000006
2012,0.000000,0.000007
2013,0.000000,0.000005
