year,Hamp
1880,9
1881,12
1882,12
1883,8
1884,8
1885,7
1886,11
1887,12
1888,8
1889,12
1890,13
1891,10
1892,16
1893,7
1894,5
1895,9
1896,5
1897,5
1898,8
1899,6
1900,13
1901,0
1902,11
1903,6
1904,6
1905,9
1906,6
1907,14
1908,8
1909,14
1910,13
1911,10
1912,12
1913,11
1914,17
1915,22
1916,25
1917,20
1918,24
1919,20
1920,27
1921,14
1922,16
1923,24
1924,17
1925,20
1926,23
1927,15
1928,8
1929,15
1930,14
1931,12
1932,11
1933,26
1934,15
1935,11
1936,13
1937,16
1938,8
1939,12
1940,6
1941,18
1942,7
1943,17
1944,14
1945,14
1946,10
1947,17
1948,19
1949,11
1950,21
1951,12
1952,9
1953,11
1954,6
1955,9
1956,10
1957,10
1958,9
1959,7
1960,8
1961,7
1962,8
1963,6
1964,6
1965,0
1966,10
1967,5
1968,0
1969,10
1970,0
1971,7
1972,0
1973,5
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,6
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
