year,Hally
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,5
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,7
1956,0
1957,6
1958,7
1959,5
1960,5
1961,6
1962,6
1963,8
1964,7
1965,0
1966,6
1967,0
1968,11
1969,11
1970,13
1971,6
1972,13
1973,7
1974,10
1975,0
1976,11
1977,7
1978,9
1979,7
1980,7
1981,5
1982,7
1983,9
1984,7
1985,6
1986,9
1987,7
1988,10
1989,10
1990,7
1991,0
1992,7
1993,16
1994,14
1995,7
1996,15
1997,11
1998,10
1999,17
2000,29
2001,17
2002,24
2003,26
2004,20
2005,29
2006,19
2007,18
2008,18
2009,18
2010,11
2011,5
2012,12
