year,Harland (F),Harland (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000032
1883,0.000000,0.000028
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000020
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000021
1890,0.000000,0.000017
1891,0.000000,0.000017
1892,0.000000,0.000015
1893,0.000000,0.000025
1894,0.000000,0.000015
1895,0.000000,0.000028
1896,0.000000,0.000014
1897,0.000000,0.000014
1898,0.000000,0.000016
1899,0.000000,0.000024
1900,0.000000,0.000029
1901,0.000000,0.000029
1902,0.000000,0.000000
1903,0.000000,0.000021
1904,0.000000,0.000022
1905,0.000000,0.000052
1906,0.000000,0.000023
1907,0.000000,0.000021
1908,0.000000,0.000018
1909,0.000000,0.000027
1910,0.000000,0.000025
1911,0.000000,0.000039
1912,0.000000,0.000046
1913,0.000000,0.000054
1914,0.000000,0.000056
1915,0.000000,0.000062
1916,0.000000,0.000059
1917,0.000000,0.000062
1918,0.000000,0.000071
1919,0.000000,0.000050
1920,0.000000,0.000059
1921,0.000000,0.000065
1922,0.000000,0.000068
1923,0.000000,0.000061
1924,0.000000,0.000064
1925,0.000000,0.000057
1926,0.000000,0.000048
1927,0.000000,0.000057
1928,0.000000,0.000057
1929,0.000000,0.000053
1930,0.000000,0.000047
1931,0.000000,0.000049
1932,0.000000,0.000051
1933,0.000000,0.000048
1934,0.000000,0.000042
1935,0.000000,0.000038
1936,0.000000,0.000034
1937,0.000000,0.000039
1938,0.000000,0.000044
1939,0.000000,0.000030
1940,0.000000,0.000032
1941,0.000000,0.000025
1942,0.000000,0.000025
1943,0.000000,0.000024
1944,0.000000,0.000017
1945,0.000000,0.000025
1946,0.000000,0.000018
1947,0.000000,0.000018
1948,0.000000,0.000021
1949,0.000000,0.000017
1950,0.000000,0.000012
1951,0.000000,0.000015
1952,0.000000,0.000013
1953,0.000000,0.000010
1954,0.000000,0.000011
1955,0.000000,0.000011
1956,0.000000,0.000010
1957,0.000000,0.000008
1958,0.000000,0.000008
1959,0.000000,0.000010
1960,0.000000,0.000009
1961,0.000000,0.000009
1962,0.000000,0.000008
1963,0.000000,0.000010
1964,0.000000,0.000006
1965,0.000000,0.000006
1966,0.000000,0.000007
1967,0.000000,0.000004
1968,0.000000,0.000008
1969,0.000000,0.000007
1970,0.000000,0.000005
1971,0.000000,0.000007
1972,0.000000,0.000005
1973,0.000000,0.000007
1974,0.000000,0.000007
1975,0.000000,0.000007
1976,0.000000,0.000005
1977,0.000000,0.000005
1978,0.000000,0.000005
1979,0.000000,0.000004
1980,0.000000,0.000004
1981,0.000000,0.000004
1982,0.000000,0.000004
1983,0.000000,0.000003
1984,0.000000,0.000001
1985,0.000000,0.000003
1986,0.000000,0.000003
1987,0.000000,0.000006
1988,0.000000,0.000004
1989,0.000000,0.000004
1990,0.000000,0.000002
1991,0.000000,0.000004
1992,0.000000,0.000003
1993,0.000000,0.000004
1994,0.000000,0.000003
1995,0.000000,0.000003
1996,0.000000,0.000004
1997,0.000000,0.000003
1998,0.000000,0.000002
1999,0.000000,0.000003
2000,0.000000,0.000002
2001,0.000000,0.000004
2002,0.000000,0.000002
2003,0.000000,0.000003
2004,0.000000,0.000003
2005,0.000000,0.000003
2006,0.000000,0.000004
2007,0.000000,0.000005
2008,0.000000,0.000004
2009,0.000000,0.000004
2010,0.000000,0.000006
2011,0.000000,0.000003
2012,0.000000,0.000005
2013,0.000000,0.000007
2014,0.000000,0.000008
2015,0.000000,0.000008
2016,0.000002,0.000013
2017,0.000000,0.000010
2018,0.000000,0.000011
2019,0.000003,0.000016
2020,0.000000,0.000010
