year,Hubert (F),Hubert (M)
1880,0.000000,0.000293
1881,0.000000,0.000223
1882,0.000000,0.000221
1883,0.000000,0.000244
1884,0.000000,0.000251
1885,0.000000,0.000299
1886,0.000000,0.000239
1887,0.000000,0.000315
1888,0.000000,0.000250
1889,0.000000,0.000287
1890,0.000000,0.000282
1891,0.000000,0.000321
1892,0.000000,0.000257
1893,0.000000,0.000329
1894,0.000000,0.000310
1895,0.000000,0.000302
1896,0.000000,0.000333
1897,0.000000,0.000355
1898,0.000000,0.000299
1899,0.000000,0.000368
1900,0.000000,0.000420
1901,0.000000,0.000405
1902,0.000000,0.000427
1903,0.000000,0.000446
1904,0.000000,0.000429
1905,0.000000,0.000385
1906,0.000000,0.000378
1907,0.000000,0.000395
1908,0.000000,0.000415
1909,0.000000,0.000434
1910,0.000000,0.000489
1911,0.000000,0.000490
1912,0.000006,0.000551
1913,0.000000,0.000673
1914,0.000000,0.000658
1915,0.000003,0.000652
1916,0.000005,0.000698
1917,0.000005,0.000667
1918,0.000003,0.000670
1919,0.000003,0.000671
1920,0.000004,0.000666
1921,0.000000,0.000663
1922,0.000000,0.000667
1923,0.000003,0.000666
1924,0.000000,0.000651
1925,0.000004,0.000626
1926,0.000003,0.000575
1927,0.000005,0.000592
1928,0.000006,0.000658
1929,0.000007,0.000632
1930,0.000003,0.000574
1931,0.000003,0.000584
1932,0.000002,0.000515
1933,0.000004,0.000465
1934,0.000003,0.000482
1935,0.000004,0.000433
1936,0.000000,0.000429
1937,0.000000,0.000419
1938,0.000003,0.000373
1939,0.000000,0.000355
1940,0.000002,0.000331
1941,0.000000,0.000300
1942,0.000002,0.000288
1943,0.000002,0.000268
1944,0.000000,0.000282
1945,0.000000,0.000230
1946,0.000000,0.000213
1947,0.000000,0.000203
1948,0.000002,0.000189
1949,0.000000,0.000179
1950,0.000000,0.000172
1951,0.000000,0.000168
1952,0.000000,0.000148
1953,0.000000,0.000146
1954,0.000000,0.000128
1955,0.000000,0.000133
1956,0.000000,0.000117
1957,0.000000,0.000115
1958,0.000000,0.000118
1959,0.000000,0.000102
1960,0.000000,0.000096
1961,0.000000,0.000089
1962,0.000000,0.000077
1963,0.000000,0.000086
1964,0.000000,0.000087
1965,0.000000,0.000084
1966,0.000000,0.000080
1967,0.000000,0.000076
1968,0.000000,0.000076
1969,0.000000,0.000068
1970,0.000000,0.000068
1971,0.000000,0.000070
1972,0.000000,0.000058
1973,0.000000,0.000061
1974,0.000000,0.000051
1975,0.000000,0.000053
1976,0.000000,0.000049
1977,0.000000,0.000051
1978,0.000000,0.000044
1979,0.000000,0.000037
1980,0.000000,0.000044
1981,0.000000,0.000035
1982,0.000000,0.000040
1983,0.000000,0.000028
1984,0.000000,0.000031
1985,0.000000,0.000031
1986,0.000000,0.000026
1987,0.000000,0.000022
1988,0.000000,0.000024
1989,0.000000,0.000025
1990,0.000000,0.000021
1991,0.000000,0.000021
1992,0.000000,0.000021
1993,0.000000,0.000016
1994,0.000000,0.000015
1995,0.000000,0.000017
1996,0.000000,0.000018
1997,0.000000,0.000015
1998,0.000000,0.000013
1999,0.000000,0.000012
2000,0.000000,0.000015
2001,0.000000,0.000012
2002,0.000000,0.000013
2003,0.000000,0.000012
2004,0.000000,0.000014
2005,0.000000,0.000015
2006,0.000000,0.000013
2007,0.000000,0.000013
2008,0.000000,0.000012
2009,0.000000,0.000010
2010,0.000000,0.000013
2011,0.000000,0.000013
2012,0.000000,0.000012
2013,0.000000,0.000009
2014,0.000000,0.000013
2015,0.000000,0.000010
2016,0.000000,0.000010
2017,0.000000,0.000010
2018,0.000000,0.000009
2019,0.000000,0.000008
2020,0.000000,0.000011
