year,Harriet (F),Harriet (M)
1880,0.001583,0.000000
1881,0.001401,0.000000
1882,0.001305,0.000000
1883,0.001572,0.000000
1884,0.001392,0.000000
1885,0.001420,0.000000
1886,0.001336,0.000000
1887,0.001382,0.000000
1888,0.001299,0.000000
1889,0.001374,0.000000
1890,0.001324,0.000000
1891,0.001235,0.000000
1892,0.001202,0.000000
1893,0.001316,0.000000
1894,0.001213,0.000000
1895,0.001239,0.000000
1896,0.001222,0.000000
1897,0.001104,0.000000
1898,0.001287,0.000000
1899,0.001271,0.000000
1900,0.001024,0.000000
1901,0.001197,0.000000
1902,0.001032,0.000000
1903,0.001091,0.000000
1904,0.001110,0.000000
1905,0.000974,0.000000
1906,0.001160,0.000000
1907,0.001025,0.000000
1908,0.001121,0.000010
1909,0.001031,0.000010
1910,0.001078,0.000000
1911,0.001229,0.000000
1912,0.001056,0.000000
1913,0.000914,0.000000
1914,0.001027,0.000000
1915,0.001009,0.000000
1916,0.001069,0.000004
1917,0.001098,0.000000
1918,0.001080,0.000000
1919,0.001027,0.000000
1920,0.001043,0.000000
1921,0.001023,0.000003
1922,0.000977,0.000002
1923,0.000955,0.000003
1924,0.000919,0.000000
1925,0.000886,0.000000
1926,0.000864,0.000003
1927,0.000847,0.000004
1928,0.000789,0.000004
1929,0.000774,0.000005
1930,0.000719,0.000004
1931,0.000672,0.000000
1932,0.000639,0.000000
1933,0.000619,0.000000
1934,0.000616,0.000003
1935,0.000619,0.000000
1936,0.000641,0.000003
1937,0.000666,0.000002
1938,0.000621,0.000000
1939,0.000631,0.000000
1940,0.000592,0.000000
1941,0.000573,0.000000
1942,0.000528,0.000000
1943,0.000512,0.000000
1944,0.000469,0.000002
1945,0.000443,0.000000
1946,0.000407,0.000002
1947,0.000368,0.000000
1948,0.000323,0.000001
1949,0.000316,0.000000
1950,0.000267,0.000000
1951,0.000251,0.000000
1952,0.000232,0.000000
1953,0.000208,0.000000
1954,0.000181,0.000000
1955,0.000173,0.000000
1956,0.000143,0.000001
1957,0.000133,0.000000
1958,0.000124,0.000000
1959,0.000123,0.000000
1960,0.000113,0.000000
1961,0.000105,0.000000
1962,0.000096,0.000000
1963,0.000089,0.000000
1964,0.000072,0.000000
1965,0.000080,0.000000
1966,0.000060,0.000000
1967,0.000067,0.000000
1968,0.000043,0.000000
1969,0.000044,0.000000
1970,0.000047,0.000000
1971,0.000032,0.000000
1972,0.000029,0.000000
1973,0.000025,0.000000
1974,0.000032,0.000000
1975,0.000025,0.000000
1976,0.000020,0.000000
1977,0.000021,0.000000
1978,0.000019,0.000000
1979,0.000014,0.000000
1980,0.000017,0.000000
1981,0.000014,0.000000
1982,0.000017,0.000000
1983,0.000014,0.000000
1984,0.000011,0.000000
1985,0.000013,0.000000
1986,0.000012,0.000000
1987,0.000010,0.000000
1988,0.000008,0.000000
1989,0.000011,0.000000
1990,0.000009,0.000000
1991,0.000008,0.000000
1992,0.000011,0.000000
1993,0.000007,0.000000
1994,0.000008,0.000000
1995,0.000010,0.000000
1996,0.000010,0.000000
1997,0.000008,0.000000
1998,0.000013,0.000000
1999,0.000009,0.000000
2000,0.000010,0.000000
2001,0.000011,0.000000
2002,0.000010,0.000000
2003,0.000011,0.000000
2004,0.000008,0.000000
2005,0.000011,0.000000
2006,0.000015,0.000000
2007,0.000015,0.000000
2008,0.000009,0.000000
2009,0.000014,0.000000
2010,0.000015,0.000000
2011,0.000024,0.000000
2012,0.000024,0.000000
2013,0.000035,0.000000
2014,0.000035,0.000000
2015,0.000049,0.000000
2016,0.000048,0.000000
2017,0.000059,0.000000
2018,0.000070,0.000000
2019,0.000076,0.000000
2020,0.000068,0.000000
