year,Hernan
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,5
1922,0
1923,0
1924,5
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,7
1934,0
1935,0
1936,6
1937,6
1938,0
1939,0
1940,0
1941,0
1942,0
1943,7
1944,10
1945,0
1946,0
1947,9
1948,5
1949,7
1950,0
1951,10
1952,9
1953,7
1954,7
1955,9
1956,10
1957,10
1958,13
1959,9
1960,14
1961,22
1962,22
1963,14
1964,17
1965,16
1966,10
1967,17
1968,18
1969,17
1970,33
1971,34
1972,28
1973,34
1974,34
1975,28
1976,34
1977,42
1978,34
1979,39
1980,31
1981,50
1982,33
1983,38
1984,44
1985,39
1986,52
1987,55
1988,65
1989,76
1990,121
1991,146
1992,169
1993,146
1994,154
1995,186
1996,177
1997,164
1998,154
1999,152
2000,153
2001,158
2002,147
2003,135
2004,115
2005,131
2006,124
2007,113
2008,123
2009,88
2010,101
2011,94
2012,88
