year,Helma
1880,6
1881,0
1882,0
1883,0
1884,0
1885,8
1886,6
1887,5
1888,6
1889,10
1890,12
1891,9
1892,5
1893,14
1894,16
1895,15
1896,8
1897,9
1898,16
1899,11
1900,7
1901,9
1902,11
1903,10
1904,7
1905,10
1906,6
1907,11
1908,8
1909,16
1910,7
1911,10
1912,14
1913,8
1914,18
1915,23
1916,25
1917,15
1918,23
1919,11
1920,14
1921,21
1922,20
1923,16
1924,14
1925,10
1926,7
1927,10
1928,5
1929,8
1930,9
1931,5
1932,8
1933,7
1934,5
1935,0
1936,5
1937,5
1938,0
1939,5
1940,0
1941,6
1942,0
1943,5
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,5
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
