year,Hansford
1880,0
1881,0
1882,6
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,5
1909,6
1910,0
1911,0
1912,10
1913,7
1914,11
1915,17
1916,8
1917,22
1918,17
1919,20
1920,16
1921,21
1922,17
1923,18
1924,18
1925,12
1926,13
1927,18
1928,13
1929,18
1930,8
1931,11
1932,11
1933,11
1934,6
1935,10
1936,18
1937,11
1938,11
1939,10
1940,11
1941,15
1942,10
1943,11
1944,9
1945,15
1946,11
1947,9
1948,11
1949,7
1950,0
1951,5
1952,6
1953,10
1954,6
1955,0
1956,9
1957,0
1958,5
1959,0
1960,5
1961,0
1962,10
1963,0
1964,0
1965,6
1966,0
1967,0
1968,0
1969,0
1970,0
1971,5
1972,0
1973,6
1974,5
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
