year,Hartwell
1880,0
1881,8
1882,0
1883,6
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,5
1892,0
1893,0
1894,0
1895,5
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,6
1911,7
1912,9
1913,12
1914,14
1915,14
1916,10
1917,27
1918,19
1919,22
1920,16
1921,16
1922,20
1923,19
1924,12
1925,18
1926,12
1927,7
1928,8
1929,18
1930,11
1931,10
1932,20
1933,17
1934,14
1935,8
1936,14
1937,17
1938,12
1939,9
1940,13
1941,11
1942,15
1943,13
1944,12
1945,10
1946,8
1947,5
1948,13
1949,0
1950,6
1951,8
1952,5
1953,6
1954,6
1955,8
1956,5
1957,0
1958,0
1959,8
1960,6
1961,6
1962,5
1963,0
1964,0
1965,7
1966,0
1967,7
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
