year,Hindy
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,7
1957,9
1958,0
1959,5
1960,7
1961,5
1962,7
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,5
1970,0
1971,7
1972,0
1973,7
1974,5
1975,17
1976,15
1977,7
1978,11
1979,11
1980,10
1981,12
1982,14
1983,13
1984,7
1985,13
1986,17
1987,8
1988,15
1989,16
1990,12
1991,14
1992,18
1993,27
1994,26
1995,18
1996,30
1997,28
1998,18
1999,23
2000,25
2001,39
2002,34
2003,28
2004,34
2005,44
2006,55
2007,44
2008,58
2009,34
2010,57
2011,64
2012,64
