year,Hipolito
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,6
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,8
1914,6
1915,5
1916,6
1917,5
1918,7
1919,8
1920,5
1921,15
1922,11
1923,13
1924,23
1925,15
1926,17
1927,11
1928,22
1929,25
1930,16
1931,9
1932,16
1933,14
1934,13
1935,11
1936,11
1937,7
1938,15
1939,12
1940,11
1941,12
1942,12
1943,8
1944,18
1945,13
1946,15
1947,13
1948,15
1949,18
1950,21
1951,24
1952,29
1953,23
1954,20
1955,35
1956,27
1957,20
1958,22
1959,21
1960,17
1961,21
1962,20
1963,24
1964,18
1965,28
1966,19
1967,21
1968,34
1969,29
1970,18
1971,20
1972,23
1973,25
1974,37
1975,32
1976,32
1977,26
1978,33
1979,26
1980,29
1981,31
1982,29
1983,28
1984,27
1985,18
1986,27
1987,25
1988,25
1989,20
1990,24
1991,26
1992,21
1993,30
1994,25
1995,23
1996,18
1997,13
1998,19
1999,21
2000,21
2001,16
2002,18
2003,21
2004,6
2005,15
2006,17
2007,14
2008,11
2009,8
2010,10
2011,5
2012,8
