year,Herma
1880,0
1881,0
1882,0
1883,0
1884,5
1885,0
1886,0
1887,6
1888,0
1889,10
1890,5
1891,0
1892,0
1893,0
1894,0
1895,7
1896,5
1897,0
1898,5
1899,9
1900,12
1901,7
1902,6
1903,0
1904,12
1905,6
1906,6
1907,9
1908,9
1909,13
1910,17
1911,8
1912,12
1913,22
1914,18
1915,12
1916,21
1917,17
1918,32
1919,21
1920,22
1921,28
1922,14
1923,21
1924,22
1925,24
1926,20
1927,18
1928,20
1929,20
1930,19
1931,13
1932,12
1933,24
1934,19
1935,16
1936,16
1937,20
1938,14
1939,10
1940,17
1941,15
1942,12
1943,14
1944,11
1945,8
1946,14
1947,16
1948,11
1949,9
1950,7
1951,5
1952,5
1953,6
1954,0
1955,6
1956,0
1957,5
1958,0
1959,6
1960,0
1961,0
1962,0
1963,0
1964,5
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
