year,Hildur
1880,0
1881,0
1882,0
1883,0
1884,0
1885,9
1886,0
1887,5
1888,5
1889,8
1890,11
1891,20
1892,20
1893,23
1894,18
1895,30
1896,16
1897,27
1898,19
1899,24
1900,18
1901,16
1902,18
1903,12
1904,20
1905,15
1906,14
1907,20
1908,14
1909,9
1910,15
1911,15
1912,26
1913,22
1914,23
1915,32
1916,32
1917,23
1918,27
1919,18
1920,15
1921,21
1922,10
1923,8
1924,9
1925,9
1926,10
1927,6
1928,0
1929,0
1930,0
1931,0
1932,0
1933,6
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
