year,Helaine
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,5
1910,0
1911,0
1912,5
1913,0
1914,0
1915,0
1916,11
1917,7
1918,8
1919,16
1920,9
1921,14
1922,15
1923,17
1924,12
1925,10
1926,12
1927,13
1928,11
1929,12
1930,13
1931,11
1932,26
1933,8
1934,15
1935,16
1936,22
1937,25
1938,65
1939,40
1940,32
1941,44
1942,48
1943,44
1944,41
1945,47
1946,48
1947,67
1948,45
1949,63
1950,51
1951,45
1952,53
1953,62
1954,41
1955,57
1956,28
1957,37
1958,25
1959,25
1960,42
1961,27
1962,45
1963,43
1964,57
1965,29
1966,39
1967,36
1968,13
1969,23
1970,12
1971,19
1972,12
1973,9
1974,5
1975,10
1976,6
1977,6
1978,0
1979,0
1980,5
1981,6
1982,6
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,6
1993,0
1994,0
1995,0
1996,5
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,6
2009,0
2010,0
2011,0
2012,0
