year,Hershel (F),Hershel (M)
1880,0.000000,0.000025
1881,0.000000,0.000000
1882,0.000000,0.000027
1883,0.000000,0.000032
1884,0.000000,0.000033
1885,0.000000,0.000021
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000023
1889,0.000000,0.000031
1890,0.000000,0.000017
1891,0.000000,0.000000
1892,0.000000,0.000024
1893,0.000000,0.000025
1894,0.000000,0.000015
1895,0.000000,0.000026
1896,0.000000,0.000031
1897,0.000000,0.000026
1898,0.000000,0.000026
1899,0.000000,0.000024
1900,0.000000,0.000029
1901,0.000000,0.000043
1902,0.000000,0.000052
1903,0.000000,0.000045
1904,0.000000,0.000050
1905,0.000000,0.000054
1906,0.000000,0.000058
1907,0.000000,0.000052
1908,0.000000,0.000047
1909,0.000000,0.000043
1910,0.000000,0.000042
1911,0.000000,0.000048
1912,0.000000,0.000062
1913,0.000000,0.000075
1914,0.000000,0.000069
1915,0.000000,0.000077
1916,0.000000,0.000079
1917,0.000000,0.000073
1918,0.000002,0.000084
1919,0.000000,0.000098
1920,0.000000,0.000086
1921,0.000000,0.000091
1922,0.000000,0.000089
1923,0.000000,0.000090
1924,0.000000,0.000094
1925,0.000000,0.000077
1926,0.000000,0.000094
1927,0.000000,0.000087
1928,0.000000,0.000080
1929,0.000000,0.000096
1930,0.000000,0.000090
1931,0.000000,0.000082
1932,0.000000,0.000098
1933,0.000000,0.000081
1934,0.000000,0.000078
1935,0.000000,0.000086
1936,0.000000,0.000070
1937,0.000000,0.000083
1938,0.000000,0.000075
1939,0.000000,0.000083
1940,0.000000,0.000067
1941,0.000000,0.000072
1942,0.000000,0.000066
1943,0.000000,0.000049
1944,0.000000,0.000055
1945,0.000000,0.000048
1946,0.000000,0.000041
1947,0.000000,0.000035
1948,0.000000,0.000041
1949,0.000000,0.000032
1950,0.000000,0.000033
1951,0.000000,0.000034
1952,0.000000,0.000032
1953,0.000000,0.000029
1954,0.000000,0.000027
1955,0.000000,0.000024
1956,0.000000,0.000022
1957,0.000000,0.000022
1958,0.000000,0.000017
1959,0.000000,0.000017
1960,0.000000,0.000015
1961,0.000000,0.000020
1962,0.000000,0.000018
1963,0.000000,0.000017
1964,0.000000,0.000020
1965,0.000000,0.000016
1966,0.000000,0.000017
1967,0.000000,0.000013
1968,0.000000,0.000021
1969,0.000000,0.000016
1970,0.000000,0.000013
1971,0.000000,0.000013
1972,0.000000,0.000013
1973,0.000000,0.000015
1974,0.000000,0.000017
1975,0.000000,0.000013
1976,0.000000,0.000013
1977,0.000000,0.000011
1978,0.000000,0.000009
1979,0.000000,0.000012
1980,0.000000,0.000009
1981,0.000000,0.000008
1982,0.000000,0.000009
1983,0.000000,0.000010
1984,0.000000,0.000009
1985,0.000000,0.000009
1986,0.000000,0.000006
1987,0.000000,0.000010
1988,0.000000,0.000009
1989,0.000000,0.000007
1990,0.000000,0.000006
1991,0.000000,0.000010
1992,0.000000,0.000006
1993,0.000000,0.000007
1994,0.000000,0.000006
1995,0.000000,0.000008
1996,0.000000,0.000007
1997,0.000000,0.000010
1998,0.000000,0.000006
1999,0.000000,0.000004
2000,0.000000,0.000008
2001,0.000000,0.000006
2002,0.000000,0.000008
2003,0.000000,0.000009
2004,0.000000,0.000010
2005,0.000000,0.000014
2006,0.000000,0.000009
2007,0.000000,0.000010
2008,0.000000,0.000011
2009,0.000000,0.000008
2010,0.000000,0.000008
2011,0.000000,0.000013
2012,0.000000,0.000009
2013,0.000000,0.000011
