year,Hadley (F),Hadley (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000014
1907,0.000000,0.000000
1908,0.000000,0.000033
1909,0.000000,0.000027
1910,0.000000,0.000008
1911,0.000000,0.000014
1912,0.000000,0.000011
1913,0.000000,0.000009
1914,0.000000,0.000011
1915,0.000000,0.000008
1916,0.000000,0.000007
1917,0.000000,0.000008
1918,0.000000,0.000008
1919,0.000000,0.000009
1920,0.000000,0.000009
1921,0.000000,0.000008
1922,0.000000,0.000006
1923,0.000000,0.000007
1924,0.000000,0.000005
1925,0.000000,0.000009
1926,0.000000,0.000007
1927,0.000000,0.000011
1928,0.000000,0.000012
1929,0.000000,0.000005
1930,0.000000,0.000009
1931,0.000000,0.000008
1932,0.000000,0.000008
1933,0.000000,0.000005
1934,0.000000,0.000006
1935,0.000000,0.000007
1936,0.000000,0.000004
1937,0.000000,0.000005
1938,0.000000,0.000006
1939,0.000000,0.000005
1940,0.000000,0.000005
1941,0.000000,0.000007
1942,0.000000,0.000003
1943,0.000000,0.000003
1944,0.000000,0.000004
1945,0.000000,0.000006
1946,0.000000,0.000004
1947,0.000000,0.000004
1948,0.000000,0.000003
1949,0.000000,0.000003
1950,0.000000,0.000003
1951,0.000000,0.000002
1952,0.000000,0.000003
1953,0.000000,0.000003
1954,0.000000,0.000002
1955,0.000000,0.000004
1956,0.000000,0.000003
1957,0.000000,0.000002
1958,0.000000,0.000003
1959,0.000000,0.000002
1960,0.000000,0.000003
1961,0.000000,0.000003
1962,0.000000,0.000002
1963,0.000000,0.000003
1964,0.000002,0.000000
1965,0.000002,0.000002
1966,0.000002,0.000003
1967,0.000002,0.000002
1968,0.000002,0.000002
1969,0.000003,0.000003
1970,0.000004,0.000002
1971,0.000003,0.000003
1972,0.000006,0.000002
1973,0.000007,0.000002
1974,0.000006,0.000002
1975,0.000007,0.000004
1976,0.000008,0.000002
1977,0.000006,0.000003
1978,0.000007,0.000000
1979,0.000008,0.000004
1980,0.000008,0.000003
1981,0.000008,0.000004
1982,0.000009,0.000005
1983,0.000010,0.000003
1984,0.000009,0.000004
1985,0.000006,0.000003
1986,0.000011,0.000002
1987,0.000010,0.000005
1988,0.000010,0.000002
1989,0.000013,0.000005
1990,0.000013,0.000005
1991,0.000016,0.000004
1992,0.000021,0.000003
1993,0.000024,0.000004
1994,0.000033,0.000003
1995,0.000028,0.000005
1996,0.000033,0.000006
1997,0.000043,0.000007
1998,0.000058,0.000008
1999,0.000054,0.000008
2000,0.000062,0.000009
2001,0.000071,0.000009
2002,0.000070,0.000009
2003,0.000098,0.000006
2004,0.000103,0.000014
2005,0.000117,0.000011
2006,0.000157,0.000009
2007,0.000172,0.000010
2008,0.000196,0.000011
2009,0.000233,0.000012
2010,0.000391,0.000011
2011,0.000482,0.000013
2012,0.000664,0.000013
2013,0.000778,0.000009
