year,Hughie
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,9
1889,5
1890,6
1891,0
1892,0
1893,7
1894,7
1895,0
1896,0
1897,8
1898,7
1899,9
1900,8
1901,0
1902,8
1903,0
1904,0
1905,10
1906,0
1907,8
1908,7
1909,11
1910,5
1911,17
1912,25
1913,12
1914,27
1915,26
1916,28
1917,45
1918,33
1919,33
1920,40
1921,36
1922,38
1923,45
1924,30
1925,48
1926,39
1927,31
1928,37
1929,33
1930,38
1931,21
1932,33
1933,28
1934,21
1935,36
1936,23
1937,36
1938,32
1939,30
1940,24
1941,32
1942,17
1943,30
1944,14
1945,16
1946,28
1947,31
1948,22
1949,24
1950,20
1951,19
1952,20
1953,23
1954,22
1955,20
1956,22
1957,14
1958,18
1959,13
1960,13
1961,12
1962,19
1963,17
1964,17
1965,9
1966,7
1967,5
1968,6
1969,7
1970,9
1971,0
1972,9
1973,11
1974,0
1975,6
1976,7
1977,8
1978,0
1979,0
1980,0
1981,8
1982,0
1983,6
1984,0
1985,0
1986,9
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,5
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
