year,Hilarie
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,7
1949,15
1950,12
1951,14
1952,12
1953,21
1954,18
1955,16
1956,14
1957,7
1958,10
1959,10
1960,8
1961,11
1962,8
1963,13
1964,8
1965,6
1966,7
1967,0
1968,9
1969,14
1970,26
1971,22
1972,21
1973,17
1974,17
1975,21
1976,20
1977,23
1978,25
1979,26
1980,24
1981,32
1982,12
1983,14
1984,21
1985,17
1986,15
1987,25
1988,17
1989,16
1990,18
1991,28
1992,29
1993,15
1994,5
1995,10
1996,5
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,5
2007,0
2008,5
2009,0
2010,0
2011,0
2012,0
