year,Hellen
1880,0
1881,0
1882,0
1883,5
1884,0
1885,7
1886,12
1887,8
1888,5
1889,16
1890,10
1891,10
1892,14
1893,15
1894,17
1895,18
1896,18
1897,16
1898,17
1899,18
1900,18
1901,18
1902,20
1903,26
1904,24
1905,30
1906,33
1907,33
1908,21
1909,29
1910,56
1911,43
1912,65
1913,56
1914,73
1915,109
1916,107
1917,107
1918,152
1919,148
1920,175
1921,156
1922,171
1923,178
1924,195
1925,170
1926,166
1927,148
1928,161
1929,148
1930,144
1931,155
1932,139
1933,118
1934,116
1935,101
1936,99
1937,122
1938,111
1939,86
1940,97
1941,89
1942,92
1943,89
1944,91
1945,88
1946,96
1947,79
1948,74
1949,69
1950,64
1951,77
1952,54
1953,58
1954,51
1955,56
1956,57
1957,35
1958,39
1959,40
1960,36
1961,33
1962,37
1963,33
1964,32
1965,28
1966,19
1967,24
1968,25
1969,28
1970,21
1971,18
1972,22
1973,23
1974,18
1975,25
1976,15
1977,8
1978,23
1979,9
1980,20
1981,18
1982,17
1983,23
1984,16
1985,13
1986,15
1987,22
1988,19
1989,19
1990,18
1991,12
1992,23
1993,23
1994,27
1995,23
1996,21
1997,33
1998,24
1999,27
2000,36
2001,24
2002,25
2003,38
2004,41
2005,47
2006,65
2007,80
2008,65
2009,63
2010,49
2011,58
2012,77
