year,Hilary (F),Hilary (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000032
1883,0.000000,0.000028
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000028
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000028
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000017
1897,0.000000,0.000014
1898,0.000000,0.000013
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000021
1903,0.000000,0.000000
1904,0.000000,0.000012
1905,0.000000,0.000014
1906,0.000000,0.000000
1907,0.000000,0.000011
1908,0.000000,0.000010
1909,0.000000,0.000014
1910,0.000000,0.000014
1911,0.000000,0.000019
1912,0.000000,0.000022
1913,0.000000,0.000020
1914,0.000004,0.000017
1915,0.000000,0.000020
1916,0.000000,0.000021
1917,0.000000,0.000022
1918,0.000003,0.000022
1919,0.000004,0.000017
1920,0.000003,0.000019
1921,0.000000,0.000016
1922,0.000000,0.000017
1923,0.000003,0.000022
1924,0.000002,0.000022
1925,0.000000,0.000014
1926,0.000004,0.000020
1927,0.000003,0.000017
1928,0.000000,0.000019
1929,0.000002,0.000022
1930,0.000004,0.000016
1931,0.000003,0.000021
1932,0.000004,0.000014
1933,0.000003,0.000019
1934,0.000000,0.000016
1935,0.000005,0.000019
1936,0.000004,0.000013
1937,0.000006,0.000013
1938,0.000004,0.000009
1939,0.000004,0.000013
1940,0.000005,0.000013
1941,0.000010,0.000011
1942,0.000013,0.000009
1943,0.000010,0.000012
1944,0.000012,0.000010
1945,0.000017,0.000011
1946,0.000012,0.000006
1947,0.000017,0.000012
1948,0.000018,0.000012
1949,0.000025,0.000010
1950,0.000031,0.000007
1951,0.000028,0.000008
1952,0.000026,0.000007
1953,0.000030,0.000010
1954,0.000029,0.000009
1955,0.000034,0.000009
1956,0.000039,0.000009
1957,0.000041,0.000007
1958,0.000031,0.000008
1959,0.000035,0.000008
1960,0.000039,0.000005
1961,0.000050,0.000006
1962,0.000050,0.000004
1963,0.000063,0.000006
1964,0.000066,0.000004
1965,0.000068,0.000004
1966,0.000073,0.000005
1967,0.000069,0.000004
1968,0.000075,0.000003
1969,0.000100,0.000003
1970,0.000098,0.000007
1971,0.000101,0.000003
1972,0.000106,0.000005
1973,0.000124,0.000003
1974,0.000140,0.000004
1975,0.000150,0.000003
1976,0.000144,0.000004
1977,0.000183,0.000004
1978,0.000240,0.000003
1979,0.000265,0.000003
1980,0.000215,0.000005
1981,0.000181,0.000003
1982,0.000171,0.000002
1983,0.000189,0.000004
1984,0.000251,0.000003
1985,0.000295,0.000004
1986,0.000256,0.000003
1987,0.000242,0.000002
1988,0.000264,0.000001
1989,0.000267,0.000004
1990,0.000308,0.000002
1991,0.000295,0.000001
1992,0.000305,0.000002
1993,0.000091,0.000002
1994,0.000039,0.000000
1995,0.000034,0.000000
1996,0.000034,0.000000
1997,0.000029,0.000000
1998,0.000025,0.000000
1999,0.000022,0.000000
2000,0.000023,0.000000
2001,0.000022,0.000000
2002,0.000026,0.000000
2003,0.000029,0.000000
2004,0.000051,0.000000
2005,0.000057,0.000000
2006,0.000055,0.000000
2007,0.000041,0.000000
2008,0.000025,0.000000
2009,0.000023,0.000000
2010,0.000022,0.000000
2011,0.000022,0.000000
2012,0.000021,0.000000
2013,0.000018,0.000000
2014,0.000016,0.000000
2015,0.000015,0.000000
2016,0.000007,0.000000
2017,0.000004,0.000000
2018,0.000003,0.000001
2019,0.000009,0.000000
2020,0.000007,0.000000
