year,Hamilton (F),Hamilton (M)
1880,0.000000,0.000084
1881,0.000000,0.000078
1882,0.000000,0.000068
1883,0.000000,0.000106
1884,0.000000,0.000074
1885,0.000000,0.000033
1886,0.000000,0.000067
1887,0.000000,0.000044
1888,0.000000,0.000020
1889,0.000000,0.000062
1890,0.000000,0.000027
1891,0.000000,0.000049
1892,0.000000,0.000021
1893,0.000000,0.000018
1894,0.000000,0.000021
1895,0.000000,0.000043
1896,0.000000,0.000020
1897,0.000000,0.000037
1898,0.000000,0.000029
1899,0.000000,0.000044
1900,0.000000,0.000042
1901,0.000000,0.000038
1902,0.000000,0.000034
1903,0.000000,0.000045
1904,0.000000,0.000022
1905,0.000000,0.000026
1906,0.000000,0.000028
1907,0.000000,0.000024
1908,0.000000,0.000059
1909,0.000000,0.000020
1910,0.000000,0.000022
1911,0.000000,0.000037
1912,0.000000,0.000046
1913,0.000000,0.000036
1914,0.000000,0.000047
1915,0.000000,0.000037
1916,0.000000,0.000039
1917,0.000000,0.000039
1918,0.000000,0.000032
1919,0.000000,0.000037
1920,0.000000,0.000027
1921,0.000000,0.000032
1922,0.000000,0.000029
1923,0.000000,0.000027
1924,0.000000,0.000033
1925,0.000000,0.000028
1926,0.000000,0.000029
1927,0.000000,0.000022
1928,0.000000,0.000021
1929,0.000000,0.000024
1930,0.000000,0.000022
1931,0.000000,0.000027
1932,0.000000,0.000013
1933,0.000000,0.000024
1934,0.000000,0.000019
1935,0.000000,0.000014
1936,0.000000,0.000018
1937,0.000000,0.000018
1938,0.000000,0.000014
1939,0.000000,0.000014
1940,0.000000,0.000014
1941,0.000000,0.000015
1942,0.000000,0.000015
1943,0.000000,0.000011
1944,0.000000,0.000015
1945,0.000000,0.000015
1946,0.000000,0.000011
1947,0.000000,0.000014
1948,0.000000,0.000013
1949,0.000000,0.000009
1950,0.000000,0.000013
1951,0.000000,0.000010
1952,0.000000,0.000011
1953,0.000000,0.000008
1954,0.000000,0.000010
1955,0.000000,0.000008
1956,0.000000,0.000009
1957,0.000000,0.000006
1958,0.000000,0.000008
1959,0.000000,0.000005
1960,0.000000,0.000007
1961,0.000000,0.000009
1962,0.000000,0.000009
1963,0.000000,0.000009
1964,0.000000,0.000009
1965,0.000000,0.000010
1966,0.000000,0.000009
1967,0.000000,0.000010
1968,0.000000,0.000010
1969,0.000000,0.000014
1970,0.000000,0.000011
1971,0.000000,0.000010
1972,0.000000,0.000009
1973,0.000000,0.000009
1974,0.000000,0.000007
1975,0.000000,0.000014
1976,0.000000,0.000012
1977,0.000000,0.000010
1978,0.000000,0.000016
1979,0.000000,0.000018
1980,0.000000,0.000019
1981,0.000000,0.000019
1982,0.000000,0.000018
1983,0.000000,0.000016
1984,0.000000,0.000014
1985,0.000000,0.000017
1986,0.000000,0.000015
1987,0.000000,0.000021
1988,0.000000,0.000016
1989,0.000000,0.000017
1990,0.000000,0.000015
1991,0.000000,0.000019
1992,0.000000,0.000018
1993,0.000000,0.000018
1994,0.000000,0.000024
1995,0.000000,0.000019
1996,0.000000,0.000019
1997,0.000000,0.000018
1998,0.000000,0.000018
1999,0.000000,0.000017
2000,0.000000,0.000015
2001,0.000000,0.000021
2002,0.000000,0.000015
2003,0.000000,0.000015
2004,0.000000,0.000017
2005,0.000000,0.000015
2006,0.000000,0.000019
2007,0.000000,0.000016
2008,0.000000,0.000023
2009,0.000000,0.000020
2010,0.000000,0.000016
2011,0.000000,0.000019
2012,0.000000,0.000015
2013,0.000000,0.000024
