year,Harriette
1880,19
1881,22
1882,27
1883,21
1884,16
1885,25
1886,22
1887,25
1888,19
1889,25
1890,18
1891,33
1892,33
1893,24
1894,32
1895,34
1896,32
1897,39
1898,36
1899,35
1900,46
1901,35
1902,32
1903,39
1904,33
1905,51
1906,39
1907,51
1908,59
1909,69
1910,79
1911,77
1912,126
1913,145
1914,188
1915,231
1916,203
1917,281
1918,264
1919,249
1920,274
1921,270
1922,265
1923,280
1924,224
1925,216
1926,175
1927,168
1928,146
1929,145
1930,121
1931,125
1932,125
1933,100
1934,120
1935,122
1936,132
1937,132
1938,120
1939,119
1940,131
1941,137
1942,158
1943,140
1944,112
1945,142
1946,119
1947,137
1948,106
1949,113
1950,106
1951,78
1952,93
1953,81
1954,64
1955,61
1956,61
1957,52
1958,47
1959,44
1960,41
1961,46
1962,50
1963,38
1964,32
1965,29
1966,22
1967,19
1968,24
1969,20
1970,13
1971,13
1972,15
1973,8
1974,8
1975,5
1976,0
1977,5
1978,8
1979,6
1980,7
1981,0
1982,6
1983,0
1984,0
1985,0
1986,0
1987,0
1988,6
1989,7
1990,0
1991,5
1992,0
1993,6
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,5
2003,0
2004,0
2005,0
2006,6
2007,0
2008,0
2009,0
2010,0
2011,6
2012,0
