year,Hermine
1880,6
1881,0
1882,6
1883,0
1884,6
1885,6
1886,5
1887,9
1888,7
1889,6
1890,14
1891,11
1892,13
1893,21
1894,15
1895,9
1896,13
1897,12
1898,15
1899,8
1900,5
1901,0
1902,17
1903,16
1904,13
1905,11
1906,11
1907,9
1908,12
1909,22
1910,33
1911,14
1912,23
1913,30
1914,34
1915,40
1916,51
1917,50
1918,43
1919,30
1920,35
1921,27
1922,31
1923,49
1924,40
1925,33
1926,29
1927,42
1928,45
1929,35
1930,28
1931,32
1932,24
1933,29
1934,27
1935,19
1936,23
1937,22
1938,26
1939,17
1940,23
1941,25
1942,19
1943,19
1944,0
1945,14
1946,18
1947,14
1948,12
1949,18
1950,11
1951,11
1952,12
1953,8
1954,12
1955,9
1956,8
1957,9
1958,6
1959,5
1960,0
1961,7
1962,6
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,8
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
