year,Henryetta
1880,0
1881,0
1882,0
1883,0
1884,5
1885,0
1886,0
1887,0
1888,0
1889,0
1890,5
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,5
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,8
1907,6
1908,0
1909,5
1910,11
1911,5
1912,11
1913,8
1914,9
1915,11
1916,13
1917,12
1918,7
1919,22
1920,11
1921,11
1922,8
1923,12
1924,11
1925,14
1926,15
1927,19
1928,5
1929,7
1930,14
1931,9
1932,14
1933,8
1934,7
1935,9
1936,5
1937,5
1938,6
1939,7
1940,7
1941,13
1942,15
1943,12
1944,9
1945,6
1946,6
1947,0
1948,13
1949,6
1950,0
1951,0
1952,8
1953,6
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,6
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
