year,Herminia
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,6
1895,0
1896,7
1897,11
1898,7
1899,0
1900,7
1901,10
1902,8
1903,12
1904,10
1905,9
1906,12
1907,17
1908,11
1909,6
1910,12
1911,25
1912,23
1913,26
1914,32
1915,49
1916,31
1917,37
1918,44
1919,54
1920,59
1921,68
1922,51
1923,56
1924,82
1925,58
1926,68
1927,64
1928,86
1929,93
1930,79
1931,46
1932,62
1933,51
1934,50
1935,68
1936,50
1937,46
1938,46
1939,60
1940,62
1941,47
1942,48
1943,49
1944,49
1945,42
1946,55
1947,47
1948,35
1949,51
1950,54
1951,61
1952,49
1953,58
1954,55
1955,39
1956,51
1957,45
1958,28
1959,36
1960,38
1961,32
1962,36
1963,27
1964,19
1965,26
1966,30
1967,29
1968,22
1969,29
1970,42
1971,35
1972,27
1973,36
1974,24
1975,33
1976,31
1977,31
1978,25
1979,18
1980,25
1981,25
1982,24
1983,21
1984,21
1985,18
1986,18
1987,20
1988,18
1989,19
1990,27
1991,23
1992,18
1993,15
1994,19
1995,11
1996,17
1997,8
1998,13
1999,11
2000,10
2001,7
2002,7
2003,15
2004,9
2005,9
2006,11
2007,10
2008,0
2009,9
2010,7
2011,0
2012,0
