year,Haywood (F),Haywood (M)
1880,0.000000,0.000050
1881,0.000000,0.000047
1882,0.000000,0.000077
1883,0.000000,0.000083
1884,0.000000,0.000066
1885,0.000000,0.000042
1886,0.000000,0.000051
1887,0.000000,0.000057
1888,0.000000,0.000033
1889,0.000000,0.000038
1890,0.000000,0.000023
1891,0.000000,0.000035
1892,0.000000,0.000042
1893,0.000000,0.000061
1894,0.000000,0.000062
1895,0.000000,0.000060
1896,0.000000,0.000048
1897,0.000000,0.000052
1898,0.000000,0.000042
1899,0.000000,0.000074
1900,0.000000,0.000062
1901,0.000000,0.000049
1902,0.000000,0.000052
1903,0.000000,0.000060
1904,0.000000,0.000055
1905,0.000000,0.000059
1906,0.000000,0.000033
1907,0.000000,0.000058
1908,0.000000,0.000053
1909,0.000000,0.000070
1910,0.000000,0.000056
1911,0.000000,0.000062
1912,0.000000,0.000062
1913,0.000000,0.000062
1914,0.000000,0.000054
1915,0.000000,0.000050
1916,0.000000,0.000051
1917,0.000000,0.000045
1918,0.000000,0.000047
1919,0.000000,0.000065
1920,0.000000,0.000055
1921,0.000000,0.000048
1922,0.000000,0.000047
1923,0.000000,0.000055
1924,0.000000,0.000039
1925,0.000000,0.000051
1926,0.000000,0.000044
1927,0.000000,0.000048
1928,0.000000,0.000039
1929,0.000000,0.000039
1930,0.000000,0.000040
1931,0.000000,0.000040
1932,0.000000,0.000042
1933,0.000000,0.000048
1934,0.000000,0.000041
1935,0.000000,0.000042
1936,0.000000,0.000045
1937,0.000000,0.000040
1938,0.000000,0.000042
1939,0.000000,0.000047
1940,0.000000,0.000040
1941,0.000000,0.000033
1942,0.000000,0.000034
1943,0.000000,0.000033
1944,0.000000,0.000030
1945,0.000000,0.000032
1946,0.000000,0.000025
1947,0.000000,0.000031
1948,0.000000,0.000026
1949,0.000000,0.000025
1950,0.000000,0.000033
1951,0.000000,0.000024
1952,0.000000,0.000019
1953,0.000000,0.000021
1954,0.000000,0.000018
1955,0.000000,0.000022
1956,0.000000,0.000020
1957,0.000000,0.000019
1958,0.000000,0.000016
1959,0.000000,0.000012
1960,0.000000,0.000019
1961,0.000000,0.000015
1962,0.000000,0.000016
1963,0.000000,0.000018
1964,0.000000,0.000012
1965,0.000000,0.000017
1966,0.000000,0.000012
1967,0.000000,0.000014
1968,0.000000,0.000011
1969,0.000000,0.000014
1970,0.000000,0.000014
1971,0.000000,0.000015
1972,0.000000,0.000011
1973,0.000000,0.000012
1974,0.000000,0.000011
1975,0.000000,0.000010
1976,0.000000,0.000012
1977,0.000000,0.000014
1978,0.000000,0.000010
1979,0.000000,0.000008
1980,0.000000,0.000008
1981,0.000000,0.000007
1982,0.000000,0.000007
1983,0.000000,0.000005
1984,0.000000,0.000009
1985,0.000000,0.000006
1986,0.000000,0.000006
1987,0.000000,0.000006
1988,0.000000,0.000006
1989,0.000000,0.000004
1990,0.000000,0.000004
1991,0.000000,0.000005
1992,0.000000,0.000005
1993,0.000000,0.000004
1994,0.000000,0.000003
1995,0.000000,0.000004
1996,0.000000,0.000003
1997,0.000000,0.000004
1998,0.000000,0.000003
1999,0.000000,0.000002
2000,0.000000,0.000003
2001,0.000000,0.000002
2002,0.000000,0.000002
2003,0.000000,0.000003
2004,0.000000,0.000003
2005,0.000000,0.000002
2006,0.000000,0.000002
2007,0.000000,0.000002
2008,0.000000,0.000003
2009,0.000000,0.000003
2010,0.000000,0.000001
2011,0.000000,0.000000
2012,0.000000,0.000002
2013,0.000000,0.000004
2014,0.000000,0.000003
2015,0.000000,0.000004
2016,0.000000,0.000003
2017,0.000000,0.000002
2018,0.000000,0.000003
2019,0.000000,0.000002
2020,0.000000,0.000003
