year,Hermon (F),Hermon (M)
1880,0.000000,0.000025
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000029
1885,0.000000,0.000033
1886,0.000000,0.000039
1887,0.000000,0.000024
1888,0.000000,0.000020
1889,0.000000,0.000028
1890,0.000000,0.000027
1891,0.000000,0.000031
1892,0.000000,0.000030
1893,0.000000,0.000031
1894,0.000000,0.000021
1895,0.000000,0.000017
1896,0.000000,0.000014
1897,0.000000,0.000026
1898,0.000000,0.000031
1899,0.000000,0.000018
1900,0.000000,0.000033
1901,0.000000,0.000038
1902,0.000000,0.000023
1903,0.000000,0.000026
1904,0.000000,0.000022
1905,0.000000,0.000047
1906,0.000000,0.000037
1907,0.000000,0.000045
1908,0.000000,0.000025
1909,0.000000,0.000027
1910,0.000000,0.000032
1911,0.000000,0.000048
1912,0.000000,0.000033
1913,0.000000,0.000033
1914,0.000000,0.000050
1915,0.000000,0.000045
1916,0.000000,0.000039
1917,0.000000,0.000038
1918,0.000000,0.000043
1919,0.000000,0.000043
1920,0.000000,0.000050
1921,0.000000,0.000043
1922,0.000000,0.000049
1923,0.000000,0.000038
1924,0.000000,0.000038
1925,0.000000,0.000042
1926,0.000000,0.000039
1927,0.000000,0.000040
1928,0.000000,0.000038
1929,0.000000,0.000045
1930,0.000000,0.000044
1931,0.000000,0.000043
1932,0.000000,0.000041
1933,0.000000,0.000040
1934,0.000000,0.000048
1935,0.000000,0.000040
1936,0.000000,0.000030
1937,0.000000,0.000040
1938,0.000000,0.000040
1939,0.000000,0.000031
1940,0.000000,0.000033
1941,0.000000,0.000028
1942,0.000000,0.000026
1943,0.000000,0.000022
1944,0.000000,0.000021
1945,0.000000,0.000023
1946,0.000000,0.000015
1947,0.000000,0.000014
1948,0.000000,0.000015
1949,0.000000,0.000014
1950,0.000000,0.000018
1951,0.000000,0.000012
1952,0.000000,0.000013
1953,0.000000,0.000011
1954,0.000000,0.000009
1955,0.000000,0.000009
1956,0.000000,0.000009
1957,0.000000,0.000006
1958,0.000000,0.000007
1959,0.000000,0.000006
1960,0.000000,0.000005
1961,0.000000,0.000003
1962,0.000000,0.000005
1963,0.000000,0.000004
1964,0.000000,0.000004
1965,0.000000,0.000003
1966,0.000000,0.000003
1967,0.000000,0.000003
1968,0.000000,0.000002
1969,0.000000,0.000003
1970,0.000000,0.000003
1971,0.000000,0.000002
1972,0.000000,0.000003
1973,0.000000,0.000002
1974,0.000000,0.000003
1975,0.000000,0.000004
1976,0.000000,0.000003
1977,0.000000,0.000003
1978,0.000000,0.000000
1979,0.000000,0.000000
1980,0.000000,0.000002
1981,0.000000,0.000003
1982,0.000000,0.000002
1983,0.000000,0.000000
1984,0.000000,0.000000
1985,0.000000,0.000000
1986,0.000000,0.000000
1987,0.000000,0.000000
1988,0.000000,0.000000
1989,0.000000,0.000001
1990,0.000000,0.000000
1991,0.000000,0.000000
1992,0.000000,0.000000
1993,0.000000,0.000002
1994,0.000000,0.000000
1995,0.000000,0.000002
1996,0.000001,0.000000
1997,0.000000,0.000000
1998,0.000001,0.000000
1999,0.000000,0.000000
2000,0.000000,0.000000
2001,0.000000,0.000001
2002,0.000000,0.000000
2003,0.000001,0.000000
2004,0.000001,0.000000
2005,0.000000,0.000001
2006,0.000000,0.000001
2007,0.000002,0.000001
2008,0.000000,0.000002
2009,0.000000,0.000000
2010,0.000001,0.000000
2011,0.000000,0.000000
2012,0.000000,0.000000
2013,0.000001,0.000000
2014,0.000000,0.000000
2015,0.000000,0.000000
2016,0.000000,0.000000
2017,0.000000,0.000001
2018,0.000000,0.000002
2019,0.000000,0.000000
2020,0.000000,0.000000
