year,Hosea (F),Hosea (M)
1880,0.000000,0.000050
1881,0.000000,0.000083
1882,0.000000,0.000045
1883,0.000000,0.000051
1884,0.000000,0.000078
1885,0.000000,0.000100
1886,0.000000,0.000067
1887,0.000000,0.000065
1888,0.000000,0.000057
1889,0.000000,0.000052
1890,0.000000,0.000033
1891,0.000000,0.000035
1892,0.000000,0.000033
1893,0.000000,0.000046
1894,0.000000,0.000021
1895,0.000000,0.000034
1896,0.000000,0.000039
1897,0.000000,0.000032
1898,0.000000,0.000047
1899,0.000000,0.000018
1900,0.000000,0.000040
1901,0.000000,0.000032
1902,0.000000,0.000065
1903,0.000000,0.000029
1904,0.000000,0.000037
1905,0.000000,0.000047
1906,0.000000,0.000030
1907,0.000000,0.000026
1908,0.000000,0.000035
1909,0.000000,0.000023
1910,0.000000,0.000036
1911,0.000000,0.000020
1912,0.000000,0.000032
1913,0.000000,0.000029
1914,0.000004,0.000023
1915,0.000000,0.000025
1916,0.000000,0.000029
1917,0.000000,0.000024
1918,0.000000,0.000023
1919,0.000000,0.000027
1920,0.000000,0.000027
1921,0.000002,0.000024
1922,0.000000,0.000021
1923,0.000000,0.000032
1924,0.000000,0.000027
1925,0.000000,0.000032
1926,0.000000,0.000025
1927,0.000002,0.000029
1928,0.000000,0.000018
1929,0.000000,0.000018
1930,0.000000,0.000022
1931,0.000002,0.000023
1932,0.000000,0.000028
1933,0.000000,0.000025
1934,0.000000,0.000023
1935,0.000000,0.000015
1936,0.000000,0.000025
1937,0.000000,0.000025
1938,0.000000,0.000016
1939,0.000000,0.000022
1940,0.000000,0.000024
1941,0.000000,0.000021
1942,0.000000,0.000013
1943,0.000000,0.000015
1944,0.000000,0.000014
1945,0.000000,0.000010
1946,0.000000,0.000013
1947,0.000000,0.000013
1948,0.000000,0.000017
1949,0.000000,0.000013
1950,0.000000,0.000016
1951,0.000000,0.000019
1952,0.000000,0.000012
1953,0.000000,0.000011
1954,0.000000,0.000014
1955,0.000000,0.000014
1956,0.000000,0.000014
1957,0.000000,0.000013
1958,0.000000,0.000015
1959,0.000000,0.000013
1960,0.000000,0.000012
1961,0.000000,0.000012
1962,0.000000,0.000010
1963,0.000000,0.000015
1964,0.000000,0.000013
1965,0.000000,0.000012
1966,0.000000,0.000008
1967,0.000000,0.000011
1968,0.000000,0.000014
1969,0.000000,0.000010
1970,0.000000,0.000011
1971,0.000000,0.000011
1972,0.000000,0.000014
1973,0.000000,0.000016
1974,0.000000,0.000014
1975,0.000000,0.000015
1976,0.000000,0.000009
1977,0.000000,0.000013
1978,0.000000,0.000009
1979,0.000000,0.000012
1980,0.000000,0.000008
1981,0.000000,0.000009
1982,0.000000,0.000006
1983,0.000000,0.000008
1984,0.000000,0.000005
1985,0.000000,0.000010
1986,0.000000,0.000008
1987,0.000000,0.000007
1988,0.000000,0.000010
1989,0.000000,0.000008
1990,0.000000,0.000010
1991,0.000000,0.000012
1992,0.000000,0.000006
1993,0.000000,0.000008
1994,0.000000,0.000007
1995,0.000000,0.000007
1996,0.000000,0.000010
1997,0.000000,0.000006
1998,0.000000,0.000006
1999,0.000000,0.000007
2000,0.000000,0.000008
2001,0.000000,0.000010
2002,0.000000,0.000007
2003,0.000000,0.000008
2004,0.000000,0.000007
2005,0.000000,0.000007
2006,0.000000,0.000008
2007,0.000000,0.000007
2008,0.000000,0.000007
2009,0.000000,0.000007
2010,0.000000,0.000014
2011,0.000000,0.000011
2012,0.000000,0.000017
2013,0.000000,0.000012
