year,Hassie
1880,5
1881,6
1882,9
1883,5
1884,10
1885,8
1886,12
1887,19
1888,11
1889,23
1890,19
1891,24
1892,19
1893,21
1894,23
1895,22
1896,25
1897,24
1898,30
1899,16
1900,26
1901,24
1902,24
1903,23
1904,33
1905,22
1906,25
1907,21
1908,22
1909,24
1910,25
1911,19
1912,27
1913,24
1914,41
1915,53
1916,35
1917,40
1918,48
1919,54
1920,44
1921,36
1922,46
1923,33
1924,49
1925,39
1926,23
1927,20
1928,18
1929,22
1930,20
1931,16
1932,16
1933,19
1934,14
1935,9
1936,13
1937,14
1938,9
1939,10
1940,9
1941,10
1942,9
1943,8
1944,7
1945,0
1946,5
1947,10
1948,8
1949,8
1950,13
1951,6
1952,0
1953,0
1954,0
1955,8
1956,0
1957,0
1958,0
1959,5
1960,0
1961,0
1962,0
1963,7
1964,6
1965,8
1966,0
1967,5
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,5
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,5
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
