year,Hettie
1880,69
1881,64
1882,73
1883,75
1884,105
1885,106
1886,91
1887,83
1888,120
1889,109
1890,94
1891,108
1892,123
1893,133
1894,122
1895,124
1896,131
1897,118
1898,130
1899,117
1900,132
1901,117
1902,115
1903,107
1904,113
1905,90
1906,88
1907,96
1908,90
1909,89
1910,107
1911,94
1912,106
1913,112
1914,138
1915,153
1916,170
1917,146
1918,164
1919,145
1920,138
1921,149
1922,152
1923,133
1924,109
1925,131
1926,114
1927,115
1928,97
1929,89
1930,65
1931,69
1932,68
1933,50
1934,69
1935,66
1936,67
1937,53
1938,47
1939,47
1940,51
1941,66
1942,58
1943,44
1944,34
1945,28
1946,41
1947,53
1948,37
1949,37
1950,37
1951,31
1952,35
1953,29
1954,17
1955,31
1956,29
1957,19
1958,12
1959,22
1960,22
1961,12
1962,12
1963,18
1964,16
1965,9
1966,18
1967,11
1968,7
1969,15
1970,7
1971,11
1972,13
1973,5
1974,10
1975,11
1976,5
1977,0
1978,0
1979,7
1980,8
1981,6
1982,9
1983,5
1984,0
1985,0
1986,0
1987,0
1988,6
1989,0
1990,0
1991,5
1992,0
1993,0
1994,6
1995,0
1996,0
1997,0
1998,0
1999,5
2000,0
2001,6
2002,6
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
