year,Hugo (F),Hugo (M)
1880,0.000000,0.000119
1881,0.000000,0.000187
1882,0.000000,0.000086
1883,0.000000,0.000175
1884,0.000000,0.000070
1885,0.000000,0.000141
1886,0.000000,0.000074
1887,0.000000,0.000121
1888,0.000000,0.000090
1889,0.000000,0.000114
1890,0.000000,0.000143
1891,0.000000,0.000094
1892,0.000000,0.000111
1893,0.000000,0.000111
1894,0.000000,0.000094
1895,0.000000,0.000111
1896,0.000000,0.000087
1897,0.000000,0.000066
1898,0.000000,0.000066
1899,0.000000,0.000053
1900,0.000000,0.000051
1901,0.000000,0.000087
1902,0.000000,0.000067
1903,0.000000,0.000050
1904,0.000000,0.000064
1905,0.000000,0.000038
1906,0.000000,0.000063
1907,0.000000,0.000049
1908,0.000000,0.000063
1909,0.000000,0.000059
1910,0.000000,0.000066
1911,0.000000,0.000092
1912,0.000000,0.000108
1913,0.000000,0.000103
1914,0.000000,0.000119
1915,0.000000,0.000106
1916,0.000000,0.000103
1917,0.000000,0.000091
1918,0.000000,0.000085
1919,0.000000,0.000075
1920,0.000000,0.000071
1921,0.000000,0.000087
1922,0.000000,0.000061
1923,0.000000,0.000066
1924,0.000000,0.000067
1925,0.000000,0.000067
1926,0.000000,0.000069
1927,0.000000,0.000056
1928,0.000000,0.000058
1929,0.000000,0.000069
1930,0.000000,0.000065
1931,0.000000,0.000046
1932,0.000000,0.000046
1933,0.000000,0.000038
1934,0.000000,0.000032
1935,0.000000,0.000036
1936,0.000000,0.000035
1937,0.000000,0.000036
1938,0.000000,0.000026
1939,0.000000,0.000024
1940,0.000000,0.000018
1941,0.000000,0.000020
1942,0.000000,0.000018
1943,0.000000,0.000023
1944,0.000000,0.000017
1945,0.000000,0.000023
1946,0.000000,0.000018
1947,0.000000,0.000015
1948,0.000000,0.000013
1949,0.000000,0.000016
1950,0.000000,0.000017
1951,0.000000,0.000019
1952,0.000000,0.000022
1953,0.000000,0.000019
1954,0.000000,0.000020
1955,0.000000,0.000019
1956,0.000000,0.000018
1957,0.000000,0.000022
1958,0.000000,0.000022
1959,0.000000,0.000023
1960,0.000000,0.000023
1961,0.000000,0.000023
1962,0.000000,0.000030
1963,0.000000,0.000028
1964,0.000000,0.000027
1965,0.000000,0.000033
1966,0.000000,0.000036
1967,0.000000,0.000034
1968,0.000000,0.000046
1969,0.000000,0.000045
1970,0.000000,0.000045
1971,0.000000,0.000059
1972,0.000000,0.000055
1973,0.000000,0.000071
1974,0.000000,0.000083
1975,0.000000,0.000080
1976,0.000000,0.000080
1977,0.000000,0.000080
1978,0.000000,0.000069
1979,0.000000,0.000091
1980,0.000000,0.000098
1981,0.000000,0.000123
1982,0.000001,0.000100
1983,0.000000,0.000084
1984,0.000000,0.000085
1985,0.000000,0.000096
1986,0.000000,0.000104
1987,0.000001,0.000101
1988,0.000000,0.000114
1989,0.000000,0.000136
1990,0.000002,0.000140
1991,0.000000,0.000146
1992,0.000002,0.000159
1993,0.000002,0.000155
1994,0.000000,0.000147
1995,0.000000,0.000144
1996,0.000000,0.000142
1997,0.000000,0.000146
1998,0.000000,0.000155
1999,0.000000,0.000162
2000,0.000000,0.000168
2001,0.000000,0.000170
2002,0.000000,0.000191
2003,0.000000,0.000191
2004,0.000000,0.000199
2005,0.000000,0.000207
2006,0.000000,0.000205
2007,0.000000,0.000185
2008,0.000000,0.000198
2009,0.000000,0.000189
2010,0.000000,0.000167
2011,0.000000,0.000169
2012,0.000000,0.000175
